구분,2000년,2001년,2002년,2003년,2004년,2005년,2006년,2007년,2008년,2009년,2010년,2011년,2012년,2013년,2014년,2015년,2016년,2017년,2018년,2019년,2020년,2021년
충청남도,1374,932,798,415,717,10445,126,8241,6531,6757,1677,460,1842,480,565,0,4075,1962,1317,1332,1362,1829
충청남도,8420,10225,5705,5968,5359,9031,6820,5336,7444,6389,6499,6367,1301,46,2489,0,11164,2701,4169,2319,4845,1313
충청남도,1279,1740,837,1215,1460,1305,592,580,1748,285,587,586,448,429,723,0,2440,2536,1391,896,1240,354
충청남도,2856,2158,4688,7830,6250,5163,9192,6078,3569,4285,3775,3104,3660,5952,6074,12701,7740,10612,12537,16989,20399,33089
충청남도,3203,4790,4212,5546,3897,6515,7661,5408,4411,4595,2381,798,12172,3575,5658,4147,3618,6400,3641,5115,6560,5940
충청남도,0,0,0,0,0,6380,4464,1533,3481,3314,6970,2926,2897,5254,2173,0,1152,3414,7786,736,1408,1771
충청남도,6809,13608,18952,12010,8492,9718,7628,6558,5494,9010,12038,6450,4261,15890,2625,7981,10154,4474,7996,20448,11180,10847
충청남도,25361,22658,25344,22546,14082,21802,7617,5765,5382,5234,6183,9213,7837,8652,14619,21513,21983,8232,7643,12633,11521,8197
충청남도,62211,49507,158035,341329,108443,116338,276901,747986,310385,210612,12325,2497,255975,7346,258056,108644,39442,210375,10855,355499,408659,174356
전라북도,3694,98364,37134,31307,43855,51420,43829,24659,32611,45052,51945,14554,13691,17000,8510,39409,11352,9360,27328,8110,9284,64426
전라북도,0,332,1656,7120,0,412,673,955,1005,5432,5302,4,195,0,530,0,2587,1697,1529,3227,715,3230
전라북도,0,0,0,0,0,0,0,0,0,0,0,7,767,750,2318,0,3641,778,576,1109,793,730
전라북도,0,0,0,0,0,0,0,0,0,0,0,0,23012,25417,12443,14942,23325,14428,27562,18995,23826,44217
전라북도,88863,7989,34220,34018,20018,16978,50697,22097,50069,19127,30632,16118,15305,3697,15741,869,1161,8282,5589,4267,10505,29004
전라북도,25628,341,9221,2180,94,3323,21623,1264,1009,1631,335,60,557,20,2407,0,2121,1363,1262,2769,6750,2610
전라북도,13572,1319,317,3352,1512,1910,515,218,6894,1137,1052,122,356,5954,368,0,149,335,1570,435,715,12445
전라북도,0,0,0,0,0,0,0,0,0,0,483,93,815,189,948,0,1359,417,681,703,997,658
전라북도,0,0,0,0,0,0,0,0,0,0,690,1289,1598,1300,381,0,2059,546,2075,3261,2391,1040
전라북도,0,0,0,0,0,0,0,0,0,0,197,115,708,118,266,0,1155,336,0,0,0,0
전라남도,0,0,0,0,0,0,0,0,568,289,231,288,538,622,379,0,1067,578,0,0,0,0
전라북도,0,0,0,0,0,0,0,0,213,259,174,205,700,562,1645,0,1285,1151,832,640,2221,873
전라남도,0,0,0,0,0,0,0,0,159,84,567,386,404,288,214,0,533,486,0,0,0,0
광주광역시,0,0,0,0,0,0,0,0,0,0,0,288,2287,2275,6043,0,5278,3376,10984,5324,2173,3493
전라남도,0,0,0,0,0,0,0,0,0,0,0,386,0,495,327,0,465,839,0,0,0,0
전라남도,0,0,0,0,0,0,0,0,0,0,0,0,0,1162,850,1053,1147,1049,1902,454,1190,1343
광주광역시,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1303,438,629,757,1389,1555,830
전라북도,128089,156299,151038,2052,250418,1836,2309,836,201121,200582,77988,5272,54552,25736,70862,211464,421339,122226,323438,3364,5867,63993
전라북도,11522,2467,311,216,212,495,400,949,10454,4865,6227,2315,9254,11799,4882,12136,10105,6037,7523,8488,5346,8383
전라북도,0,0,0,0,0,0,0,0,0,0,3168,5272,1120,5519,1349,0,1305,1466,2631,5807,2794,5010
전라남도,0,0,0,0,0,0,0,0,0,0,687,1927,761,2314,813,0,694,781,1341,1667,1734,3320
전라남도,0,0,0,0,0,0,0,0,0,0,0,3975,829,657,553,0,1451,1694,1678,2363,2305,3419
전라남도,0,0,0,0,0,0,4714,2515,1415,2132,1210,719,751,1144,1091,0,2541,1054,1905,1174,925,216
전라남도,7225,10954,4959,6411,21034,33224,12687,9220,7862,6284,9435,12414,6491,9619,7066,4001,7036,3444,4673,3479,11758,15723
전라남도,3117,1824,2697,855,2588,50,316,76,283,188,163,72,22,96,694,0,635,434,156,678,756,2492
전라남도,3904,6182,4015,3884,4856,2629,4253,3740,2767,2306,1264,6577,2871,3266,4294,0,1986,2101,1986,1541,1163,2038
전라남도,0,0,0,0,0,0,0,0,3291,5724,4205,24782,6191,3304,5371,0,3083,2610,8536,5488,6446,40977
전라남도,0,0,0,0,0,0,0,0,2717,3020,67217,5912,4798,2472,2090,0,990,982,1567,5607,1135,4763
