주소,축종,사육두수,발생일,지역코드,location,avg_temperature(C),daily_rain(mm),avg_wind(m/s),avg_r_humidity(%)
충청북도 음성군 맹동면 봉현리,오리-육용오리,20196,20140218,127,충주,2.6,0.0,3.0,43.5
충청북도 음성군 맹동면 봉현리,오리-육용오리,19294,20140219,127,충주,0.8,0.0,1.4,52.4
충청북도 음성군 맹동면 봉현리,오리-육용오리,14239,20140219,127,충주,0.8,0.0,1.4,52.4
충청북도 음성군 맹동면 봉현리,오리-육용오리,5474,20140219,127,충주,0.8,0.0,1.4,52.4
충청북도 음성군 맹동면 봉현리,오리-육용오리,10700,20140219,127,충주,0.8,0.0,1.4,52.4
충청북도 음성군 맹동면 봉현리,오리-육용오리,13657,20140219,127,충주,0.8,0.0,1.4,52.4
충청북도 음성군 맹동면 용촌리,오리-육용오리,9300,20161118,127,충주,7.6,5.9,0.9,80.3
충청북도 음성군 맹동면 봉현리,오리-육용오리,7800,20140219,127,충주,0.8,0.0,1.4,52.4
충청북도 음성군 맹동면 용촌리,오리-육용오리,11500,20161119,127,충주,11.6,0.6,0.7,94.0
충청북도 음성군 맹동면 용촌리,오리-육용오리,8000,20150303,127,충주,3.4,0.5,1.8,57.5
충청북도 음성군 삼성면 용대리,닭-산란계,210000,20161205,127,충주,6.7,0.0,1.6,66.8
충청북도 음성군 삼성면 용대리,오리-종오리,5000,20210105,127,충주,-4.2,0.2,2.1,53.0
충청북도 음성군 삼성면 상곡리,닭-산란계,35100,20161220,127,충주,5.4,0.0,0.8,80.3
충청북도 음성군 삼성면 덕정리,오리,3200,20031217,127,충주,0.1,1.8,3.2,63.9
충청북도 음성군 삼성면 대정리,닭-산란계,13000,20161213,127,충주,2.3,0.0,0.8,71.6
충청북도 음성군 삼성면 능산리,닭-종계,136000,20161202,127,충주,-0.9,0.0,1.1,59.0
충청북도 음성군 삼성면 능산리,닭-종계,130000,20161214,127,충주,0.2,0.8,1.0,78.5
충청북도 음성군 삼성면 능산리,닭-산란계,75000,20161224,127,충주,-1.7,0.0,1.0,68.8
충청북도 음성군 맹동면 인곡리,오리-종오리,3500,20140225,127,충주,3.5,0.0,0.9,64.6
충청북도 음성군 맹동면 인곡리,오리-종오리,10000,20150303,127,충주,3.4,0.5,1.8,57.5
충청북도 음성군 맹동면 용촌리,오리-육용오리,8882,20140219,127,충주,0.8,0.0,1.4,52.4
충청북도 음성군 맹동면 용촌리,오리-육용오리,6826,20140219,127,충주,0.8,0.0,1.4,52.4
충청북도 음성군 맹동면 용촌리,오리-육용오리,6046,20140219,127,충주,0.8,0.0,1.4,52.4
충청북도 음성군 맹동면 용촌리,오리-육용오리,13000,20150222,127,충주,4.4,2.3,2.3,76.9
충청북도 음성군 맹동면 용촌리,오리-육용오리,9885,20150227,127,충주,-1.6,0.0,2.3,36.3
충청북도 음성군 맹동면 용촌리,오리-육용오리,10500,20161116,127,충주,3.3,0.0,0.9,62.8
충청북도 음성군 맹동면 마산리,오리-육용오리,10675,20150226,127,충주,2.2,1.0,3.5,49.6
충청북도 음성군 맹동면 봉현리,오리-육용오리,5900,20140219,127,충주,0.8,0.0,1.4,52.4
충청북도 음성군 맹동면 봉현리,오리-육용오리,9000,20150223,127,충주,1.5,0.0,2.3,56.9
충청북도 음성군 맹동면 봉현리,오리-육용오리,16500,20161123,127,충주,0.7,0.0,1.3,44.1
