주소,축종,"사육
두수",진단일,발생일,지역코드
경기도 여주시 가남읍 하귀리,닭-산란계,409447,20161218,20161213,203
경기도 여주시 가남읍 하귀리,닭-산란계,300000,20150121,20150114,203
경기도 여주시 능서면 광대리,오리-종오리,29386,20161214,20161209,203
경기도 여주시 능서면 광대리,오리-종오리,41200,20150202,20150123,203
경기도 여주시 능서면 광대리,닭-산란계,30000,20110223,20110223,203
경기도 여주시 능서면 마래리,닭-산란계,208300,20201229,20201228,203
경기도 여주시 능서면 마래리,닭-육계,55000,20161230,20161226,203
경기도 여주시 능서면 마래리,메추리-비분류,100000,20170101,20161224,203
경기도 여주시 능서면 마래리,닭-산란계,208100,20161210,20161207,203
경기도 여주시 능서면 용은리,닭-산란계,48000,20161220,20161218,203
경기도 여주시 점동면 당진리,닭-산란계,153600,20201222,20201221,203
경기도 여주시 흥천면 율극리,닭-산란계,250000,20161228,20161224,203
경기도 여주시 흥천면 율극리,닭-산란계,120417,20161228,20161223,203
경기도 연천군 미산면 백석리,닭-산란계,16000,20110524,20110524,98
경기도 연천군 연천읍 상리,닭-산란계,9874,20170118,20170112,98
경기도 용인시 처인구 백암면 박곡리,닭-산란계,196000,20161214,20161209,203
경기도 용인시 처인구 백암면 박곡리,닭-산란계,200000,20110306,20110306,203
경기도 용인시 처인구 백암면 석천리,닭-산란계,203000,20161218,20161213,203
경기도 용인시 처인구 백암면 석천리,닭-산란계,110000,20161218,20161213,203
경기도 용인시 처인구 백암면 옥산리,닭-산란계,188000,20210119,20210118,203
경기도 용인시 처인구 백암면 옥산리,닭-산란계,240000,20161218,20161213,203
경기도 용인시 처인구 백암면 장평리,닭-산란계,19000,20210201,20210129,203
경기도 용인시 처인구 원삼면 문촌리,오리-종오리,6000,20201223,20201220,203
경기도 의정부시 용현동,닭-토종닭,48,20150420,20150416,98
경기도 이천시 대월면 대대리,오리-육용오리,5500,20161216,20161211,203
경기도 이천시 대월면 대흥리,닭-산란계,54000,20161216,20161211,203
경기도 이천시 대월면 초지리,닭-산란계,360000,20161207,20161203,203
경기도 이천시 마장면 이치리,오리-종오리,10907,20160323,20160323,203
경기도 이천시 모가면 원두리,오리-육용오리,18600,20161207,20161201,203
경기도 이천시 백사면 도립리,닭-산란계,119000,20210214,20210213,203
경기도 이천시 부발읍 가산리,닭-산란계,241000,20210214,20210213,203
경기도 이천시 부발읍 가산리,닭-산란계,200000,20161129,20161127,203
경기도 이천시 설성면 상봉리,닭-종계,21000,20110217,20110217,203
경기도 이천시 설성면 신필리,닭-산란계,10000,20161209,20161204,203
경기도 이천시 설성면 신필리,닭-토종닭,27300,20161218,20161214,203
경기도 이천시 설성면 신필리,오리-육용오리,3000,20161203,20161130,203
경기도 이천시 설성면 암산리,닭-토종닭,23000,20161210,20161205,203
경기도 이천시 설성면 장능리,닭-산란계,95000,20161209,20161204,203
경기도 이천시 설성면 장능리,닭-토종닭,26500,20110121,20110121,203
경기도 이천시 설성면 장천리,닭-산란계,146000,20210202,20210201,203
경기도 이천시 설성면 장천리,닭-산란계,160000,20161129,20161125,203
경기도 이천시 설성면 장천리,닭-산란계,156704,20150225,20150210,203
경기도 이천시 설성면 장천리,오리-종오리,8300,20110122,20110122,203
경기도 이천시 설성면 행죽리,닭-종계,60000,20161207,20161202,203
경기도 이천시 설성면 행죽리,닭-종계,16000,20110114,20110114,203
경기도 이천시 율면 본죽리,닭-산란계,75500,20161214,20161208,203
경기도 이천시 율면 본죽리,닭-산란계,90000,20140422,20140420,203
경기도 이천시 율면 석산리,메추리-비분류,620000,20161206,20161203,203
경기도 이천시 율면 석산리,메추리-비분류,430000,20140508,20140430,203
경기도 이천시 율면 신추리,닭-산란계,50000,20210130,20210129,203
경기도 이천시 율면 신추리,닭-산란계,47060,20161220,20161215,203
경기도 이천시 율면 신추리,닭-산란계,43728,20031225,20031225,203
경기도 이천시 율면 신추리,닭-산란계,43728,20031225,20031225,203
경기도 이천시 율면 월포리,닭-육계,71700,20161220,20161214,203
경기도 이천시 장호원읍 나래리,닭-산란계,478000,20210122,20210121,203
경기도 이천시 장호원읍 나래리,닭-산란계,278100,20161224,20161218,203
경기도 이천시 장호원읍 나래리,닭-산란계,289800,20150126,20150121,203
