구분,시도,시군,2014년-10월,2014년-11월,2014년-12월,2015년-01월,2015년-02월,2015년-03월,2015년-10월,2015년-11월,2015년-12월,2016년-01월,2016년-02월,2016년-03월,2016년-10월,2016년-11월,2016년-12월,2017년-01월,2017년-02월,2017년-03월,2017년-10월,2017년-11월,2017년-12월,2018년-01월,2018년-02월,2018년-03월,2018년-10월,2018년-11월,2018년-12월,2019년-01월,2019년-02월,2019년-03월,2019년-10월,2019년-11월,2019년-12월,2020년-01월,2020년-02월,2020년-03월,2020년-10월,2020년-11월,2020년-12월,2021년-01월,2021년-02월,2021년-03월,평균
북한강(청평댐-화천교),경기도 ,가평군,0,0,992,0,0,0,0,0,1171,1165,0,0,0,0,1126,1650,0,0,0,0,1100,1015,947,0,0,0,1376,1528,0,0,0,0,2341,3095,0,0,0,0,1606,1210,0,0,483.8571429
소양호 하류,강원도 ,춘천시,0,0,935,0,0,0,0,0,1076,468,0,0,0,0,855,779,0,0,497,821,830,712,1075,2576,986,1617,982,1221,2150,3179,958,1471,1501,1697,1687,2479,1039,1108,1366,1628,1726,1921,936.6666667
성산대교-행주대교,서울특별시,마포,0,0,1393,0,0,0,0,0,8637,4699,0,0,0,0,2978,2142,0,0,0,0,3020,2728,2322,0,0,0,1500,1323,0,0,0,0,2338,5661,0,0,0,1742,1786,4207,837,2579,1187.904762
안양천,서울특별시,영등포구,0,0,3921,0,0,0,0,0,2477,3762,0,0,0,0,1599,2323,0,0,3318,3927,3669,2648,2848,1594,565,690,1934,2180,969,597,397,422,4219,7228,668,530,490,1175,2964,3467,650,624,1472.738095
안양천,경기도 ,의왕시,0,0,3921,0,0,0,0,0,2477,3762,0,0,0,0,1599,2323,0,0,3318,3927,3669,2648,2848,1594,565,690,1934,2180,969,597,397,422,4219,7228,668,530,490,1175,2964,3467,650,624,1472.738095
"한강하구(오두산전망대-일산대교)·김포평야(하성, 사우동)·공릉천",경기도 ,김포시,21577,26820,15874,14396,14718,14592,26637,18216,22345,15851,15122,36004,27055,23350,16795,13766,17088,12795,1535,6657,17609,19160,14771,1491,1174,8479,14386,18697,0,0,0,0,17709,18966,0,0,0,21797,14401,9028,14397,20359,13657.54762
"한강하구(오두산전망대-일산대교)·김포평야(하성, 사우동)·공릉천",경기도 ,파주시,21577,26820,15874,14396,14718,14592,26637,18216,22345,15851,15122,36004,27055,23350,16795,13766,17088,12795,1535,6657,17609,19160,14771,1491,1174,8479,14386,18697,0,0,0,0,17709,18966,0,0,0,21797,14401,9028,14397,20359,13657.54762
"한강하류(일산대교-행주대교)·이화동 일원(홍도평, 이화리, 태리)",경기도 ,김포시,4089,11402,9657,6273,4254,8672,9447,9866,11348,20542,9768,9493,8034,26778,7233,9920,14694,8301,9880,8684,16774,13824,11789,7859,12081,18866,16854,20593,8120,16143,18524,22424,28331,16129,24066,22131,14137,22007,18601,7411,13034,27589,13943.38095
임진강(장남교-오두산전망대),경기도 ,파주시,4954,16882,16419,11752,15544,14958,10900,17868,14721,10221,17150,14944,22386,30023,19294,15484,24974,12178,11519,36047,17078,28436,18417,38018,14315,27585,30402,23082,16348,18584,121020,50872,32331,27992,31711,24442,40970,39939,28419,30288,26810,19341,24871.85714
강화도,인천광역시,강화군,0,0,12876,0,0,0,0,0,10841,12216,0,0,0,0,17754,12838,5889,3568,0,0,4729,4339,4135,0,0,0,4576,6587,0,0,0,0,7862,10323,0,0,0,0,6488,3125,0,0,3051.095238
석모도,인천광역시,강화군,0,0,5064,0,0,0,0,0,8808,5796,0,0,0,0,4614,2982,0,0,0,0,5813,3675,3695,0,0,0,5240,4657,0,0,0,0,5166,6239,0,0,0,0,7155,4006,0,0,1735.952381
