구분,시도,시군,2014년-10월,2014년-11월,2014년-12월,2015년-01월,2015년-02월,2015년-03월,2015년-10월,2015년-11월,2015년-12월,2016년-01월,2016년-02월,2016년-03월,2016년-10월,2016년-11월,2016년-12월,2017년-01월,2017년-02월,2017년-03월,2017년-10월,2017년-11월,2017년-12월,2018년-01월,2018년-02월,2018년-03월,2018년-10월,2018년-11월,2018년-12월,2019년-01월,2019년-02월,2019년-03월,2019년-10월,2019년-11월,2019년-12월,2020년-01월,2020년-02월,2020년-03월,2020년-10월,2020년-11월,2020년-12월,2021년-01월,2021년-02월,2021년-03월,평균
지석천,전라남도 ,화순군,361,734,1237,1053,499,1018,970,2039,566,1147,1033,890,931,1461,1792,1049,0,0,364,378,1947,1902,1691,333,1019,723,929,454,614,352,217,298,941,1190,475,741,733,1878,1825,1343,701,764,918.8571429
황룡강,광주광역시,광산구,381,576,580,1303,858,583,641,772,1172,438,678,449,539,644,688,629,0,0,178,491,731,757,755,455,789,336,604,1389,911,168,154,375,748,1555,202,884,1213,851,581,830,856,926,658.8095238
동림저수지,전라북도,고창군,264,398,26034,211464,4417,2162,577,4542,50198,421339,5810,1586,1152,8578,898,122226,14926,507,1519,7266,43833,323438,1314,696,1925,19760,21507,3364,4315,1367,1776,6499,30051,5867,351598,1440,1550,4866,272065,63983,2352,1072,48821.45238
곰소만,전라북도 ,부안군,7271,4014,2873,12136,8978,5646,5480,7779,8484,10105,15137,5103,3113,8514,4886,6037,6559,6281,0,0,6816,7523,6750,0,0,0,17418,8488,0,0,0,0,6325,5346,0,0,0,0,4228,8383,0,0,4754.119048
고창해안(동호항-계마항),전라북도,고창군,0,0,4425,0,0,0,0,0,1444,1305,0,0,0,0,1952,1466,0,0,0,0,1720,2631,3982,0,0,0,4055,5807,0,0,0,0,1041,2794,0,0,0,0,1732,5010,0,0,937.2380952
법성포,전라남도 ,영광군,0,0,709,0,0,0,0,0,1271,694,0,0,0,0,928,781,0,0,0,0,550,1341,1883,0,0,0,1377,1667,0,0,0,0,1593,1734,0,0,0,0,986,3320,0,0,448.4285714
영광-함평 해안,전라남도 ,영광군,0,0,697,0,0,0,0,0,1148,1451,0,0,0,0,2596,1694,0,0,0,0,1306,1678,2496,0,0,0,1635,2363,0,0,0,0,4307,2305,0,0,0,0,1659,3419,0,0,684.6190476
대동댐,전라남도 ,함평군,0,0,602,0,0,0,0,0,2185,2541,0,0,0,0,747,1054,0,0,0,0,1100,1905,1469,0,0,0,1023,1174,0,0,0,0,727,925,0,0,0,317,1081,216,416,469,427.4047619
무안군 현경면·운남면,전라남도 ,무안군,3921,1375,2965,4001,3749,1931,848,3079,9364,7036,2762,2072,1022,1509,5219,3444,0,0,0,0,3254,4673,4340,0,0,0,2348,3479,0,0,0,0,10366,11758,0,0,0,0,12878,15723,0,0,2931.333333
무안군 해제면·신안군 지도읍,전라남도 ,무안군,0,0,1197,0,0,0,0,0,1370,635,0,0,0,0,331,434,0,0,0,0,435,156,440,0,0,0,869,678,0,0,0,0,1473,756,0,0,0,0,1418,2492,0,0,302
무안저수지,전라남도 ,무안군,0,0,1070,0,0,0,0,0,785,1986,0,0,0,0,1230,2101,0,0,0,0,1678,1986,2316,0,0,0,1315,1541,0,0,0,0,2153,1163,0,0,0,0,2375,2038,0,0,565.1666667
무안-목포해안,전라남도 ,목포시,0,0,13724,0,0,0,0,0,5101,3083,0,0,0,0,1892,2610,0,0,0,0,3205,8536,769,0,0,0,7796,5488,0,0,0,0,7378,6446,0,0,0,0,3450,40977,0,0,2629.880952
압해도,전라남도 ,신안군,0,0,1216,0,0,0,0,0,597,990,0,0,0,0,2481,982,0,0,0,0,1866,1567,4765,0,0,0,1656,5607,0,0,0,0,1341,1135,0,0,0,0,3065,4763,0,0,762.6428571
암태도,전라남도 ,신안군,218,603,650,1784,1192,1694,237,1031,1285,1066,706,1358,294,2409,3245,3250,0,0,0,0,440,563,0,0,0,0,1141,966,0,0,0,0,1094,815,0,0,0,0,718,1094,0,0,663.1666667
영산호,전라남도 ,영암군,0,0,2175,0,0,0,0,0,1017,6176,0,0,0,0,1317,4367,2537,947,633,1316,4685,8869,3029,681,788,1962,2815,4601,1402,566,718,1208,3609,2130,2078,967,1887,1691,4590,4426,2598,1129,1831.285714
우습제,전라남도 ,나주시,0,0,1554,0,0,0,0,0,1827,3215,0,0,0,0,1101,1175,0,0,0,0,271,895,921,0,0,0,494,1880,0,0,0,0,1655,1832,0,0,0,239,5939,2594,2079,602,673.1666667
영산강 중류(몽탄대교-승촌보),전라남도 ,나주시,0,0,3391,0,0,0,0,0,1515,1797,0,0,0,0,1489,2976,0,0,0,0,2884,2663,3949,0,0,0,3061,2359,0,0,0,0,2452,3386,0,0,0,0,3641,2846,0,0,914.5
영암호,전라남도 ,영암군,1806,114047,141161,6180,2437,1841,2425,3910,410544,9460,3264,1652,1381,34194,111887,26630,8419,5032,7883,65201,27024,24710,56410,4011,6789,124081,88651,7406,4486,1653,5130,61886,193012,6064,7461,2217,2040,13164,44225,6388,6312,2282,39398.95238
금호호,전라남도 ,해남군,607,8728,10319,5496,3012,1734,3050,8395,24270,12771,8727,1804,8921,27813,40202,12324,3325,6070,5850,33109,12888,11260,29351,1171,7217,10525,53580,71168,14915,2589,2923,42725,20067,8278,4635,2480,2573,7000,4887,5196,3911,1326,13028.38095
고천암호,전라남도 ,해남군,345,3414,2983,3188,3406,2660,6448,1916,8785,11800,4390,2880,1955,7362,25999,8073,5308,1867,1119,9725,7368,4217,2872,3151,1056,7354,56958,12132,7607,5604,1087,6137,18020,3100,1592,996,1131,13810,5432,10103,5376,985,6897.880952
랑초(개초)저수지,전라남도 ,해남군,0,0,519,0,0,0,0,0,1231,822,0,0,0,0,1999,890,0,0,0,0,787,1069,1946,0,0,0,965,753,0,0,0,0,906,1138,0,0,0,0,904,1146,0,0,358.9285714
군내간척지,전라남도 ,진도군,0,0,6072,0,0,0,0,0,5197,5003,0,0,0,0,3853,3816,0,0,0,0,1359,2898,2860,0,0,0,5650,1938,0,0,0,0,13476,3482,0,0,0,0,5616,2158,0,0,1509
둔전저수지,전라남도 ,진도군,0,0,799,0,0,0,0,0,1261,1641,0,0,0,0,2196,1013,0,0,0,0,1199,1386,1164,0,0,0,2132,1891,0,0,0,0,1134,794,0,0,0,0,3215,2829,0,0,539.3809524
주암호,전라남도 ,순천시,0,0,1115,0,0,0,0,0,789,907,0,0,0,0,780,1977,0,0,0,0,577,699,513,0,0,0,305,1098,0,0,0,0,1200,1744,0,0,0,284,639,685,1920,883,383.6904762
상사호,전라남도 ,순천시,0,0,981,0,0,0,0,0,447,359,0,0,0,0,526,534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67.78571429
보성강저수지,전라남도 ,보성군,0,0,1911,0,0,0,0,0,473,596,0,0,0,0,526,462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94.47619048
완도호,전라남도,완도군,0,0,1835,0,0,0,0,0,444,477,0,0,0,0,2306,1237,0,0,0,0,2023,2563,652,0,0,0,1995,2289,0,0,0,0,2077,667,0,0,0,0,1594,1996,0,0,527.5
해남군 신방지,전라남도,해남군,0,0,358,0,0,0,0,0,243,367,0,0,0,0,529,438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.07142857
군곡저수지,전라남도,해남군,0,0,373,0,0,0,0,0,247,920,0,0,0,0,95,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.38095238
해원저수지,전라남도,해남군,0,0,171,0,0,0,0,0,89,98,0,0,0,0,508,606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.04761905
강진만,전라남도,강진군,0,0,1538,0,0,0,0,0,1712,1682,0,0,0,0,1625,1339,0,3841,1776,2847,2144,3155,2699,2817,1260,2094,2068,673,3758,2229,1124,3716,3534,5667,6071,2690,1239,6615,2918,4210,7373,3807,2100.5
사내간척지,전라남도,강진군,0,0,462,0,0,0,0,0,381,1325,0,0,0,0,1007,734,0,0,0,0,1040,4758,2717,0,0,0,1284,3868,0,0,0,0,3665,3190,0,0,0,2165,3264,8534,1527,3801,1041
만덕간척지,전라남도,강진군,0,0,638,0,0,0,0,0,350,852,0,0,0,0,237,3607,0,0,0,0,1035,1927,589,0,0,0,770,510,0,0,0,0,257,1727,0,0,0,560,210,1685,212,164,365
고금도,전라남도,완도군,0,0,2016,0,0,0,0,0,525,1231,0,0,0,0,769,798,0,0,0,0,344,740,713,0,0,0,1309,774,0,0,0,0,596,1571,0,0,0,0,842,1142,0,0,318.3333333
조약도,전라남도,완도군,0,0,455,0,0,0,0,0,184,406,0,0,0,0,1246,1731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95.76190476
장흥해안,전라남도,장흥군,0,0,6216,0,0,0,0,0,2316,6194,0,0,0,0,4430,3736,0,0,0,0,7852,7300,4603,0,0,0,20727,10046,0,0,0,0,11469,16932,0,0,0,0,2588,6296,0,0,2635.833333
보성만-득량만,광주광역시,서구,0,0,2270,0,0,0,0,0,2597,2552,0,0,0,0,1499,1656,0,0,0,0,991,2993,1435,0,0,0,733,1246,0,0,0,0,876,2342,0,0,0,0,2038,1597,0,0,591.0714286
보성만-득량만,전라남도,보성군,0,0,2270,0,0,0,0,0,2597,2552,0,0,0,0,1499,1656,0,0,0,0,991,2993,1435,0,0,0,733,1246,0,0,0,0,876,2342,0,0,0,0,2038,1597,0,0,591.0714286
점암저수지,전라남도,고흥군,0,0,617,0,0,0,0,0,1146,293,0,0,0,0,491,454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71.45238095
고흥호,전라남도,고흥군,0,0,946,0,0,0,0,0,2451,3978,0,0,0,0,2306,1961,0,0,0,0,1915,2871,1579,0,0,0,3237,4768,0,0,0,0,5765,4008,0,0,0,2663,43118,4698,16111,3727,2526.238095
포두면 간척지·해창만,전라남도,고흥군,0,0,984,0,0,0,0,0,6998,6038,0,0,0,0,3858,1871,0,0,0,0,2497,2332,1299,0,0,0,2314,1406,0,0,0,0,2124,3608,0,0,0,0,1955,4368,0,0,991.7142857
여자만,전라남도,여수시,4984,4569,4077,5249,5362,4805,2556,3390,3969,4720,5776,4232,2523,4146,8481,6818,8069,4907,0,0,3185,5877,5236,0,0,0,7306,5059,0,0,0,0,6622,17552,0,0,0,0,8801,10584,0,0,3782.261905
순천만,전라남도,순천시,4478,9439,13834,11862,10494,9070,3018,5938,7809,9305,8099,4387,2756,14568,18626,19020,17193,14285,4912,18353,17321,13006,15598,6278,2689,15846,30340,23531,23711,18547,5283,20605,27163,28768,26806,13603,3353,22213,40288,21566,23758,5426,14598.69048
광양만·갈사만,전라남도,여수시,1085,5826,7421,13654,2279,3956,1807,6172,11777,7743,14053,10149,6002,20074,15628,31405,17588,16370,0,0,20908,9293,17252,0,0,0,11882,8401,0,0,0,0,11552,10201,0,0,0,0,6879,18801,0,0,7337.095238
섬진강 하구·수어천 하류,전라남도,광양시,0,0,1670,0,0,0,0,0,1976,249,0,0,0,0,789,2489,0,0,0,0,3390,1420,5184,0,0,0,1742,769,0,0,0,0,1469,4019,0,0,0,0,410,916,0,0,630.7619048
남해 해안,경상남도,남해군,0,0,3634,0,0,0,0,0,8354,3300,0,0,0,0,3645,2503,0,0,0,0,2571,3017,2488,0,0,0,2712,3045,0,0,0,0,3211,4048,0,0,0,0,4249,3665,0,0,1201
창선도,경상남도,남해군,0,0,1567,0,0,0,0,0,944,1576,0,0,0,0,10891,3281,0,0,0,0,3682,18912,4637,0,0,0,3840,6815,0,0,0,0,1409,3373,0,0,0,0,3043,4980,0,0,1641.666667
사천만,경상남도,사천시,0,0,3419,0,0,0,0,0,2250,2484,0,0,0,0,3292,5816,0,0,721,1542,1751,997,1463,709,450,1145,1737,4474,1840,1102,434,1758,3307,2938,2938,1881,396,1634,2421,3167,2342,1045,1415.547619
진양호,경상남도,진주시,0,0,1324,0,0,0,0,0,1528,2345,0,0,0,0,1883,3736,0,0,0,0,4012,2081,1455,0,0,0,211,2662,0,0,0,0,3430,1486,0,0,0,0,1465,2464,0,0,716.2380952
고성군 거류면 동해면(당도만),경상남도,고성군,0,0,4018,0,0,0,0,0,3119,7780,0,0,0,0,2765,4090,0,0,0,0,1393,2744,1499,0,0,0,3028,2984,0,0,0,0,1078,2202,0,0,0,0,798,1908,0,0,938.2380952
대가저수지,경상남도,고성군,0,0,2678,0,0,0,0,0,529,946,0,0,0,0,237,357,0,0,0,0,2212,1176,1614,0,0,0,712,2081,0,0,0,0,1787,1034,0,0,0,0,665,743,0,0,399.3095238
거제도 해안,경상남도,거제시,0,0,2956,0,0,0,0,0,5142,3742,0,0,0,0,1484,1149,0,0,0,0,7492,10635,9106,0,0,0,11677,8273,0,0,0,0,12597,10609,0,0,0,0,8462,7039,0,0,2389.595238
주남저수지,경상남도,창원시,3729,6059,7439,8825,3183,2400,4685,5982,4969,7931,3975,2187,5727,9470,8535,9033,6212,1039,3051,7543,14345,13735,8231,2436,2471,8501,11321,6255,6354,1706,5139,9056,25403,10222,6601,1413,3412,11687,7716,12148,4101,1081,6793.047619
산남저수지,경상남도,창원시,2584,2287,793,1383,839,419,1825,1765,1468,714,1115,394,3822,1766,1990,1823,369,394,878,1272,1909,1670,1769,471,352,582,616,936,865,297,313,815,1246,1400,784,526,607,816,1382,1031,1137,334,1137.095238
동판저수지,경상남도,창원시,4530,3480,4629,2625,2861,1583,3504,4837,3328,2310,1722,1964,4894,9673,6303,3706,1665,918,2015,5148,2832,1416,1120,1311,1162,2249,2547,2178,1356,966,568,1952,3652,3100,1690,1129,1112,1827,3237,2660,1013,826,2657.095238
봉암갯벌,경상남도,창원시,0,0,886,0,0,0,0,0,722,715,0,0,0,0,2217,961,0,0,0,0,1766,2743,1633,0,0,0,1405,885,0,0,0,0,2736,2835,0,0,0,0,1307,1667,0,0,535.1904762
우포저수지,경상남도,창녕군,7927,3974,4041,1653,3894,3843,3626,4634,4304,3962,2208,2503,1199,3182,3733,2270,2108,2508,1676,3939,3429,2666,2071,2442,1474,4238,5131,3646,2714,1565,1286,6263,3900,3240,3929,639,3642,6118,3761,1931,2265,1199,3207.928571
목포,경상남도,창녕군,2369,2124,268,428,835,1568,1526,3422,272,107,956,463,1001,1446,1162,1390,1626,737,2321,3524,298,172,643,814,1411,1493,361,202,182,662,196,706,137,289,297,352,143,770,191,546,1041,377,924.4761905
사지포,경상남도,창녕군,529,3496,551,807,2254,1292,2076,1645,1063,440,154,481,331,488,761,238,361,247,151,2162,185,1134,2239,1160,190,1238,386,959,710,550,84,1312,577,1705,505,329,466,1764,829,851,505,321,893.4761905
합천호,경상남도,합천군,0,0,499,0,0,0,0,0,517,1202,0,0,0,0,869,1149,0,0,0,0,1184,766,917,0,0,0,478,173,0,0,0,0,635,655,0,0,0,0,409,1409,0,0,258.6190476
황강,경상남도,합천군,0,0,241,0,0,0,0,0,768,1080,0,0,0,0,2304,2553,0,0,0,0,2689,2211,2632,0,0,0,1590,1595,0,0,0,0,1014,1006,0,0,0,0,1053,2258,0,0,547.4761905
화원(도흥리-부리),충청남도,보령시,0,0,2074,0,0,0,0,0,2070,2708,0,0,0,0,2645,3408,0,0,1209,2011,2389,4242,2098,2793,923,2940,2669,2420,1923,2282,758,1205,2929,3615,2054,1251,721,778,1964,2218,1339,738,1437.47619
금호강,경상북도,영천시,0,0,1822,0,0,0,0,0,1303,1229,0,0,0,0,1724,1572,0,0,516,617,1433,1858,989,633,394,882,1509,1984,1016,1051,377,1392,1655,1927,1077,619,214,1153,1378,2778,1007,852,832.4047619
구미 해평(도흥리-일선교),경상북도,구미시,696,4458,2479,6630,10492,9075,746,2809,4227,5089,5157,1477,884,2682,2668,3442,4657,2756,774,1901,6066,9474,14134,4624,517,1650,4978,17392,13207,6913,770,2881,7154,12111,12815,3795,570,2008,5807,3961,9462,936,5102.952381
감천,경상북도,김천시,312,228,67,683,556,951,446,1656,1083,1102,1328,1165,1060,654,695,1192,267,506,606,1269,950,2273,960,1520,391,675,1362,1041,648,992,722,1753,1145,1237,1003,930,927,979,1604,1391,1552,873,970.3333333
낙동강(일선교-안동시),경상북도,안동시,0,0,4472,0,0,0,0,0,3028,4360,0,0,0,0,5891,3847,0,0,0,0,1526,5377,3517,0,0,0,3675,1878,0,0,0,0,4932,2954,0,0,0,0,2972,2118,0,0,1203.5
낙동강(일선교-안동시),경상북도,구미시,0,0,4472,0,0,0,0,0,3028,4360,0,0,0,0,5891,3847,0,0,0,0,1526,5377,3517,0,0,0,3675,1878,0,0,0,0,4932,2954,0,0,0,0,2972,2118,0,0,1203.5
내성천,경상북도,예천군,0,0,113,0,0,0,0,0,673,715,0,0,0,0,338,868,0,0,0,0,328,229,215,0,0,0,211,91,0,0,0,0,226,230,0,0,0,0,314,249,0,0,114.2857143
내성천,경상북도,봉화군,0,0,113,0,0,0,0,0,673,715,0,0,0,0,338,868,0,0,0,0,328,229,215,0,0,0,211,91,0,0,0,0,226,230,0,0,0,0,314,249,0,0,114.2857143
안동호,경상북도,안동시,0,0,837,0,0,0,0,0,2620,4166,0,0,0,0,1402,1838,0,0,0,0,2016,2309,2241,0,0,0,2255,1922,0,0,0,0,2173,2214,0,0,0,0,1287,573,0,0,663.1666667
임하호,경상북도,안동시,0,0,694,0,0,0,0,0,2660,2107,0,0,0,0,1412,2084,0,0,0,0,970,610,493,0,0,0,475,558,0,0,0,0,611,539,0,0,0,0,334,446,0,0,333.1666667
낙동강(달성-남지),대구광역시,달성군,0,0,3088,0,0,0,0,0,2290,2482,0,0,0,0,2591,2044,0,0,0,0,1436,5139,2515,0,0,0,2450,1307,0,0,0,0,2633,2924,0,0,0,0,3394,3110,0,0,890.547619
낙동강(남지-삼랑진),경상남도,창녕군,0,0,4983,0,0,0,0,0,1454,1809,0,0,0,0,1767,789,0,0,0,0,736,1525,1278,0,0,0,1457,885,0,0,0,0,2926,2338,0,0,0,0,2890,1802,0,0,634.2619048
낙동강(삼랑진-대동),경상남도,밀양시,0,0,985,0,0,0,0,0,1334,1631,0,0,0,0,1043,1388,0,0,0,0,1511,456,1276,0,0,0,1122,771,0,0,0,0,821,1008,0,0,0,968,1163,694,595,427,409.3571429
오륜대(회동)저수지,경상남도,김해시,0,0,542,0,0,0,0,0,769,631,0,0,0,0,409,358,0,0,0,0,1117,1078,638,0,0,0,733,858,0,0,0,0,331,349,0,0,0,0,380,307,0,0,202.3809524
회야호,울산광역시,울주군,0,0,689,0,0,0,0,0,806,399,0,0,0,0,2053,711,0,0,0,0,2065,817,504,0,0,0,592,918,0,0,0,0,1013,1256,0,0,0,0,894,2631,0,0,365.4285714
"낙동강하류(하구둑 대저수문, 서낙동강,맥도강)",부산광역시,강서구,6657,25071,19442,17139,15047,9131,6045,15892,21658,21263,13355,8195,5435,14566,16732,24548,13366,5724,9603,29720,18290,23754,31718,9120,5706,19980,26312,27093,17834,10031,8719,28097,24933,23768,23511,11888,8764,19632,28749,29019,19633,12276,17319.42857
낙동강 하구,부산광역시,사하구,19702,47258,26930,21708,16124,18383,14516,40066,32852,25783,28978,13858,22174,37374,18981,26894,21861,11767,11739,22621,15098,28234,15171,14137,10839,32513,15489,18097,16378,8805,14721,24166,23704,17104,18462,12717,13622,44956,24039,18772,16675,8337,21228.69048
덕동호,경상북도,경주시,0,0,284,0,0,0,0,0,110,131,0,0,0,0,121,199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.11904762
보문호,경상북도,경주시,0,0,153,0,0,0,0,0,183,360,0,0,0,0,418,681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.73809524
형산강(나정교-강동교),경상북도,경주시,0,0,1424,0,0,0,0,0,2098,2674,0,0,0,0,2724,4300,0,0,678,1415,3863,2391,4710,3010,616,1468,2596,2345,6876,3461,881,2391,3115,3385,5152,3689,850,3783,4025,4623,8532,4231,2173.952381
형산강(나정교-강동교),부산광역시,강서구,0,0,1424,0,0,0,0,0,2098,2674,0,0,0,0,2724,4300,0,0,678,1415,3863,2391,4710,3010,616,1468,2596,2345,6876,3461,881,2391,3115,3385,5152,3689,850,3783,4025,4623,8532,4231,2173.952381
형산강(형산교-제1강동교),경상북도,포항시,0,0,1361,0,0,0,0,0,4124,3398,0,0,0,0,2844,5132,0,0,1358,1825,3023,4744,2704,1261,1085,4502,3551,3236,2600,2615,1052,4480,3567,3572,4699,1190,811,2300,2072,2725,2324,1735,1902.142857
안계저수지,경상북도,경주시,0,0,799,0,0,0,0,0,148,544,0,0,0,0,17,129,0,0,0,0,85,229,2458,0,0,0,2144,1692,0,0,0,0,3526,1156,0,0,0,0,818,2601,0,0,389.1904762
용연지,경상북도,의성군,0,0,493,0,0,0,0,0,754,313,0,0,0,0,245,377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.95238095
하곡지(딱실못),경상북도,경주시,0,0,684,0,0,0,0,0,769,580,0,0,0,0,301,542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68.47619048
부산-울산 해안,울산광역시,북구,1837,1930,2046,2481,5476,2590,1488,1928,8352,3635,5593,3270,1511,1961,3543,4462,0,0,0,0,3936,5264,6929,0,0,0,6150,4686,0,0,0,0,9221,32730,0,0,0,0,4409,15079,0,0,3345.404762
부산-울산 해안,부산광역시,남구,1837,1930,2046,2481,5476,2590,1488,1928,8352,3635,5593,3270,1511,1961,3543,4462,0,0,0,0,3936,5264,6929,0,0,0,6150,4686,0,0,0,0,9221,32730,0,0,0,0,4409,15079,0,0,3345.404762
울산-구룡포 해안,경상북도,포항시,9035,13114,25430,41492,18816,14921,8432,13454,39975,38870,17125,16867,3580,7987,12750,16884,13455,6686,0,0,12064,14551,12878,0,0,0,16174,19320,0,0,0,0,26647,11658,0,0,0,0,12553,10115,0,0,10829.35714
울산만,울산광역시,남구,0,0,4764,0,0,0,0,0,4161,4078,0,0,0,0,290,715,0,0,0,0,1711,1753,2710,0,0,0,1785,1175,0,0,0,0,1411,1218,0,0,0,0,1210,2386,0,0,699.2142857
태화강(명천대교-삼호교),울산광역시,중구,1327,47446,54076,60823,61780,51340,402,51303,100863,101417,110552,21931,533,32858,92761,101281,62896,11578,0,0,72129,75293,61752,0,0,0,71271,79832,0,0,0,0,105314,96597,0,0,0,36494,74971,91497,51735,46509,43537.16667
태화강(명천대교-삼호교),충청남도,보령시,1327,47446,54076,60823,61780,51340,402,51303,100863,101417,110552,21931,533,32858,92761,101281,62896,11578,0,0,72129,75293,61752,0,0,0,71271,79832,0,0,0,0,105314,96597,0,0,0,36494,74971,91497,51735,46509,43537.16667
포항-영덕 해안,경상북도,영덕군,7303,14372,5181,10271,6398,4538,7854,8679,5244,8305,10393,8681,5433,5299,6448,7187,13264,20759,0,0,18600,7534,8520,0,0,0,3489,11288,0,0,0,0,7756,7416,0,0,0,0,6176,10224,0,0,5633.619048
영덕-평해 해안,경상북도,울진군,6651,10153,5923,4834,5859,4889,3908,8312,4786,2823,9665,7600,6170,14062,23665,13623,8548,4343,0,0,4108,7794,2200,0,0,0,11400,12182,0,0,0,0,7787,5932,0,0,0,0,7058,5669,0,0,4998.666667
평해-울진 해안,경상북도,울진군,0,0,9581,0,0,0,0,0,4452,3787,0,0,0,0,4346,1300,0,0,0,0,4428,1430,4213,0,0,0,8719,8332,0,0,0,0,4997,4363,0,0,0,0,3604,5879,0,0,1653.119048
울진-원덕 해안,경상북도,울진군,0,0,3960,0,0,0,0,0,4827,2842,0,0,0,0,4011,3580,0,0,0,0,4060,4070,37080,0,0,0,5051,4603,0,0,0,0,3570,6059,0,0,0,0,4981,6096,0,0,2256.904762
원덕-삼척 해안,강원도 ,삼척시,2803,4337,8378,1840,4506,2336,2291,9146,8267,5227,7252,5007,5288,8900,9583,8704,5819,16397,0,0,9183,11847,10368,0,0,0,7606,7056,0,0,0,0,5567,3983,0,0,0,0,4390,6289,0,0,4342.142857
삼척-강릉 해안,강원도 ,강릉시,0,0,4214,0,0,0,0,0,7213,2743,0,0,0,0,6868,7147,0,0,0,0,5692,3782,2363,0,0,0,6485,6392,0,0,0,0,3382,4814,0,0,0,0,3358,4538,0,0,1642.642857
경포호,강원도 ,강릉시,977,1118,831,2497,526,1394,215,3237,579,2067,2432,1354,1097,1997,1976,1775,0,0,0,0,1154,726,767,0,0,0,1430,3777,0,0,0,0,1372,1166,0,0,0,0,1434,1133,0,0,881.6904762
남대천(강릉),강원도 ,강릉시,277,1079,444,1063,1488,2570,244,2029,2934,2282,2166,1493,1058,1963,2064,1716,0,0,285,1124,987,888,1281,3160,759,1308,2062,1232,1531,2114,678,1046,2859,1701,2199,3414,279,1318,2319,1735,1364,4391,1545.333333
강릉-주문진 해안,강원도 ,강릉시,0,0,1667,0,0,0,0,0,6353,7386,0,0,0,0,8848,4549,4917,7277,0,0,3521,8477,1057,0,0,0,6173,7043,0,0,0,0,9161,1856,0,0,0,0,4276,2033,0,0,2014.142857
주문진-양양 해안,강원도 ,양양군,0,0,3900,0,0,0,0,0,7823,3153,0,0,0,0,6999,4042,0,0,0,0,2265,6213,3387,0,0,0,1415,1441,0,0,0,0,4003,3523,0,0,0,0,5068,2757,0,0,1333.071429
남대천(양양),강원도 ,강릉시,466,939,2082,2141,248,809,272,3091,4121,3182,2000,1411,289,3811,2250,1369,0,0,349,1681,458,1463,772,2711,506,3688,2816,1633,1081,1871,1521,1849,1798,1695,2322,1598,1056,1303,2801,998,1644,2479,1632.714286
양양-속초 해안,강원도 ,속초시,0,0,2777,0,0,0,0,0,6344,3778,0,0,0,0,6141,3737,0,0,0,0,1902,2158,2633,0,0,0,1946,9321,0,0,0,0,4485,3117,0,0,0,0,5587,5025,0,0,1403.595238
청초호,강원도 ,속초시,0,0,809,0,0,0,0,0,987,1663,0,0,0,0,611,640,0,0,0,0,1104,937,779,0,0,0,505,1944,0,0,0,0,853,1188,0,0,0,0,752,1421,0,0,337.9285714
영랑호,강원도 ,속초시,0,0,1268,0,0,0,0,0,704,1256,0,0,0,0,991,672,0,0,0,0,557,353,244,0,0,0,687,152,0,0,0,0,782,613,0,0,0,0,721,2095,0,0,264.1666667
속초-간성 해안,강원도 ,속초시,0,0,9183,0,0,0,0,0,12545,8064,0,0,0,0,7415,10802,2968,3578,0,0,5455,6544,5117,0,0,0,8018,7919,0,0,0,0,5884,4447,0,0,0,0,6199,8537,0,0,2682.738095
송지호,강원도 ,고성군,0,0,116,0,0,0,0,0,3711,336,0,0,0,0,326,486,0,0,0,0,580,841,866,0,0,0,1045,1347,0,0,0,0,1652,1338,0,0,0,0,1484,967,0,0,359.4047619
화진포,강원도 ,고성군,0,0,936,0,0,0,0,0,2165,3825,0,0,0,0,5490,993,0,0,0,0,1797,732,166,0,0,0,51,200,0,0,0,0,1743,1415,0,0,0,0,11482,419,0,0,747.952381
간성-대진해안,강원도 ,동해시,4257,10316,3268,4761,3599,2319,5027,4084,8049,13650,6778,2374,982,2403,16873,21220,0,3387,0,0,6635,5169,3178,0,0,0,6477,13518,0,0,0,0,8548,7334,0,0,0,0,2598,3791,0,0,4061.785714
고성군 해상,강원도 ,고성군,0,0,1674,0,0,0,0,0,1335,3680,0,0,0,0,18762,4765,0,0,0,0,2749,1284,3419,0,0,0,1147,1571,0,0,0,0,834,4794,0,0,0,0,1129,2520,0,0,1182.452381
