주소,축종,진단일,발생일,지역코드,사육수,location,date,avg_temperature(C),daily_rain(mm),avg_wind(m/s),avg_r_humidity(%)
경기도 안성시 일죽면 능국리,닭-산란계,20140321,20140318,203,443000,이천,20140318,11.4,0.0,2.7,63.8
경기도 안성시 일죽면 능국리,닭-산란계,20140401,20140329,203,110000,이천,20140329,12.9,2.6,0.8,70.0
경기도 안성시 일죽면 능국리,닭-산란계,20161214,20161207,203,50000,이천,20161207,-1.9,0.1,0.7,71.0
경기도 안성시 일죽면 능국리,닭-산란계,20161218,20161211,203,400000,이천,20161211,-2.9,0.0,0.8,57.8
경기도 안성시 일죽면 방초리,닭-토종닭,20170114,20170109,203,1500,이천,20170109,3.1,0.0,2.6,56.9
경기도 안성시 일죽면 산북리,닭-일괄,20161220,20161214,203,290000,이천,20161214,-0.5,0.7,1.5,75.8
경기도 안성시 일죽면 산북리,오리-육용오리,20110111,20110111,203,14800,이천,20110111,-7.7,2.7,0.8,72.4
경기도 안성시 일죽면 산북리,오리-육용오리,20161210,20161207,203,5500,이천,20161207,-1.9,0.1,0.7,71.0
경기도 안성시 일죽면 신흥리,닭-산란계,20210201,20210131,203,60000,이천,20210131,0.6,0.0,0.6,69.1
경기도 안성시 일죽면 신흥리,오리-육용오리,20140315,20140313,203,1,이천,20140313,4.4,0.0,2.8,55.6
경기도 안성시 일죽면 장암리,닭-산란계,20161226,20161220,203,100000,이천,20161220,5.5,0.0,0.6,76.0
경기도 안성시 일죽면 장암리,닭-육계,20070210,20070210,203,133003,이천,20070210,3.3,0.0,2.4,62.6
경기도 안성시 일죽면 장암리,닭-종계,20210127,20210126,203,18780,이천,20210126,3.6,3.3,0.7,91.1
경기도 안성시 일죽면 화곡리,오리-육용오리,20161218,20161208,203,5500,이천,20161208,-1.5,1.7,0.5,85.6
경기도 안성시 일죽면 화봉리,닭-산란계,20140312,20140306,203,30000,이천,20140306,0.4,0.0,2.4,37.6
경기도 안성시 중리동,오리-육용오리,20140626,20140625,203,4000,이천,20140625,22.5,0.0,1.1,66.0
경기도 양주시 광적면 우고리,오리-비분류,20150524,20150521,98,700,동두천,20150521,18.1,0.0,2.0,50.9
경기도 양주시 광적면 우고리,오리-비분류,20150524,20150522,98,210,동두천,20150522,19.7,0.0,2.1,47.4
경기도 양주시 남면 경신리,닭-산란계,20110120,20110120,98,8000,동두천,20110120,-9.6,0.0,0.8,51.1
경기도 양주시 남면 경신리,닭-산란계,20170111,20170107,98,11830,동두천,20170107,2.5,0.0,1.1,70.1
경기도 양주시 남면 상수리,닭-산란계,20170214,20170209,98,17070,동두천,20170209,-4.7,0.0,3.2,43.9
경기도 양주시 백석읍 가업리,닭-산란계,20161123,20161120,98,15500,동두천,20161120,9.2,0.0,2.0,48.9
경기도 양주시 백석읍 가업리,닭-산란계,20161129,20161126,98,102783,동두천,20161126,0.2,1.4,0.9,73.6
경기도 양주시 백석읍 오산리,닭-산란계,20161201,20161128,98,16000,동두천,20161128,0.7,0.0,1.3,59.3
경기도 양주시 은현면 도하리,닭-산란계,20170111,20170105,98,31500,동두천,20170105,2.7,0.0,1.3,60.1
경기도 양주시 은현면 봉암리,닭-산란계,20170118,20170112,98,9800,동두천,20170112,-3.2,0.0,2.4,44.4
경기도 양주시 은현면 봉암리,닭-산란계,20180318,20180316,98,26000,동두천,20180316,5.8,0.0,1.7,50.6
경기도 양주시 은현면 하패리,닭-산란계,20040321,20040321,98,44000,동두천,20040321,7.6,0.0,1.2,44.8
경기도 양평군 지평면 수곡리,오리-육용오리,20161207,20161203,202,4500,양평,20161203,1.5,0.0,0.7,67.6
경기도 여주시 가남읍 금당리,닭-산란계,20150202,20150123,203,541023,이천,20150123,-1.2,0.0,0.6,81.4
경기도 여주시 가남읍 금당리,닭-산란계,20161218,20161213,203,416271,이천,20161213,2.2,0.0,1.0,64.1
경기도 여주시 가남읍 삼군리,메추리-비분류,20201209,20201208,203,110000,이천,20201208,-1.1,0.0,0.9,54.3
경기도 여주시 가남읍 은봉리,닭-산란계,20161210,20161206,203,120000,이천,20161206,-0.5,0.0,1.8,38.5
