구분,시도,시군,2003년,2004년,2005년,2006년,2007년,2008년,2009년,2010년,2011년,2012년,2013년,2014년,2015년,2016년,2017년,2018년,2019년,2020년,2021년,평균
남한강(여주-충주),충청북도,충주시,0,0,0,0,0,0,0,14808,10145,7985,8564,10707,11569,21871,16674,10553,13192,17259,16535,8413.789474
섬강,강원도 ,횡성군,0,0,0,0,0,0,0,2697,3492,2478,1157,2522,1435,1911,1384,3361,777,2281,2910,1389.736842
북한강(청평댐-화천교),강원도 ,화천군,2747,3416,3568,2775,0,2886,2924,1799,987,1044,877,1028,0,1165,1650,1015,1528,3095,1210,1774.421053
북한강(청평댐-화천교),경기도 ,가평균,2747,3416,3568,2775,0,2886,2924,1799,987,1044,877,1028,0,1165,1650,1015,1528,3095,1210,1774.421053
소양호 하류,강원도 ,춘천시,0,0,0,0,0,0,0,0,1303,815,901,838,0,468,779,712,1221,1697,1628,545.3684211
성산대교-행주대교,서울특별시,마포구,0,0,0,0,0,0,0,897,263,1909,1100,2253,0,4699,2142,2728,1323,5661,4207,1430.631579
안양천,서울특별시,영등포구,0,0,0,0,0,0,0,2085,1336,3659,2782,2981,0,3762,2323,2648,2180,7228,3467,1813.210526
안양천,경기도 ,의왕시,0,0,0,0,0,0,0,2085,1336,3659,2782,2981,0,3762,2323,2648,2180,7228,3467,1813.210526
"한강하구(오두산전망대-일산대교)·김포평야(하성, 사우동)·공릉천",경기도 ,김포시,5311,8942,54478,35770,56844,23431,45308,10316,2307,11610,8616,19911,14396,15851,13766,19160,18697,18966,9028,20668.84211
"한강하구(오두산전망대-일산대교)·김포평야(하성, 사우동)·공릉천",경기도 ,파주시,5311,8942,54478,35770,56844,23431,45308,10316,2307,11610,8616,19911,14396,15851,13766,19160,18697,18966,9028,20668.84211
"한강하류(일산대교-행주대교)·이화동 일원(홍도평, 이화리, 태리)",경기도 ,김포시,0,0,0,0,0,0,0,0,8131,9316,7142,9922,6273,20542,9920,13824,20593,16129,7411,6800.157895
임진강(장남교-오두산전망대),경기도 ,파주시,3874,930,16190,12491,24646,20784,13434,8921,7315,5615,3751,9643,11752,10221,15484,28436,23082,27992,30288,14465.73684
강화도,인천광역시,강화군,2426,5592,6703,9627,7793,3219,3598,4896,6586,7318,3812,4695,0,12216,12838,4339,6587,10323,3125,6089.105263
석모도,인천광역시,강화군,0,0,0,0,0,984,1548,3955,1231,3818,2267,3523,0,5796,2982,3675,4657,6239,4006,2351.631579
교동도,인천광역시,강화도,0,0,0,0,0,5156,7503,6031,3663,6919,3697,6857,0,7070,9352,12003,10986,12593,9012,5307.473684
영종도(운북동),인천광역시,중구,2985,3893,2991,0,2961,1499,1780,717,52,1070,419,2530,0,1729,2167,1958,3157,5334,2804,2002.421053
"영종도(운남, 삼목동)",인천광역시,중구,2399,1283,905,3133,392,3015,4801,934,93,342,521,655,0,1077,3383,0,0,0,0,1207
송도,인천광역시,연수구,0,0,0,3427,2162,7784,1195,5165,9560,2801,2122,2416,0,8273,5430,3052,5235,10007,4150,3830.473684
청라지구·굴포천 하구,인천광역시,서구,0,0,0,0,0,0,0,0,163,573,226,1591,0,3114,2166,1651,2912,4738,4237,1124.789474
대부도,경기도 ,안산시,2757,3085,4410,3190,5406,6603,4304,7369,8940,8465,7535,9425,4598,8169,4123,3232,4270,8966,7681,5922.526316
시화호,경기도 ,안산시,27184,67262,44178,69722,33347,41946,40267,10515,10598,12115,4904,9894,13814,24364,18124,9083,7734,13898,10532,24709.52632
왕송저수지,경기도 ,의왕시,0,0,0,0,0,0,0,880,616,1024,753,1913,0,1439,1391,491,538,1107,1064,590.3157895
물왕저수지,경기도 ,시흥시,0,0,0,0,0,0,0,36,44,38,51,263,0,391,96,0,0,0,0,48.36842105
발안저수지,경기도 ,화성시,0,0,0,0,0,0,0,0,74,606,192,1589,0,981,425,160,157,843,269,278.7368421
서호,경기도 ,수원시,0,0,0,0,0,0,0,0,0,0,0,0,721,3893,2878,1302,2254,2004,1079,743.7368421
진위천,경기도 ,처인구,0,0,0,0,0,0,0,0,19652,18706,3652,5961,2850,1679,1867,5140,4862,2914,9659,4049.578947
이동저수지,경기도 ,처인구,0,0,0,0,0,0,0,0,427,130,161,272,0,3918,1249,1232,1127,631,270,495.6315789
고삼저수지,경기도 ,안성시,0,0,0,0,0,0,0,0,187,199,173,63,0,1343,913,859,1285,1561,1687,435.2631579
청미천,경기도 ,이천시,0,0,0,0,0,0,0,0,0,0,0,0,2267,1001,1768,8242,4623,9827,6463,1799.526316
풍서천,충청남도,천안시,0,0,0,0,0,0,0,0,0,0,0,0,440,624,389,2316,646,356,318,267.8421053
곡교천,충청남도,아산시,0,0,0,0,0,0,0,0,0,0,0,0,2029,2475,9314,6683,3560,2284,3008,1544.894737
봉강천,전라남도 ,보성군,0,0,0,0,0,0,0,0,0,0,0,0,1065,1244,1309,2198,382,561,563,385.3684211
"남양만(장안면, 우정면)",경기도 ,화성시,9427,17580,33338,1114,11614,11184,2509,18550,13638,12012,8939,24117,8691,25390,14454,17663,6166,31544,6374,14437.05263
남양호,경기도 ,평택시,2285,4531,7748,33193,32474,9105,6678,15429,35173,35984,16521,8761,17015,13717,11537,9581,12978,5267,5703,14930.52632
아산만,충청남도,아산시,3476,7639,1882,7867,2229,695,561,3699,3316,2620,6727,8100,5154,9690,12742,3924,9678,10665,18467,6270.052632
아산만,경기도 ,평택시,3476,7639,1882,7867,2229,695,561,3699,3316,2620,6727,8100,5154,9690,12742,3924,9678,10665,18467,6270.052632
