구분,시도,시군,2003년,2004년,2005년,2006년,2007년,2008년,2009년,2010년,2011년,2012년,2013년,2014년,2015년,2016년,2017년,2018년,2019년,2020년,2021년,평균
울산-구룡포 해안,경상북도,포항시,13497,6329,10804,9042,15096,19492,16427,16576,19934,14174,14424,38377,41492,38870,16884,14551,19320,11658,10115,18266.42105
울산만,울산광역시,남구,1708,553,734,1611,1267,1782,2090,2281,4307,3643,2349,3210,0,4078,715,1753,1175,1218,2386,1940
태화강(명천대교-삼호교),울산광역시,중구,4525,2809,15335,43830,33584,34924,18094,46524,40782,37855,52139,52621,60823,101417,101281,75293,79832,96597,91497,52092.73684
태화강(명천대교-삼호교),충청남도,보령시,4525,2809,15335,43830,33584,34924,18094,46524,40782,37855,52139,52621,60823,101417,101281,75293,79832,96597,91497,52092.73684
포항-영덕 해안,경상북도,영덕군,2807,2554,4819,12350,6693,5373,10533,7603,4989,8108,8406,5920,10271,8305,7187,7534,11288,7416,10224,7493.684211
영덕-평해 해안,경상북도,울진군,3223,1546,4979,4064,3646,12143,9060,10410,5042,7084,7270,11715,4834,2823,13623,7794,12182,5932,5669,7002.052632
평해-울진 해안,경상북도,울진군,3710,4744,5279,5865,2593,6921,3044,5771,2064,8494,3445,3319,0,3787,1300,1430,8332,4363,5879,4228.421053
울진-원덕 해안,경상북도,울진군,3183,3222,3795,3106,2603,7713,6744,2140,4449,2885,4104,2977,0,2842,3580,4070,4603,6059,6096,3903.736842
원덕-삼척 해안,강원도 ,삼척시,577,2930,572,394,3607,5982,6590,6366,3421,5037,5699,9805,1840,5227,8704,11847,7056,3983,6289,5048.736842
삼척-강릉 해안,강원도 ,강릉시,1370,1027,3587,3767,804,4827,3517,4720,3445,2650,5464,2669,0,2743,7147,3782,6392,4814,4538,3540.157895
경포호,강원도 ,강릉시,4158,2022,838,615,1615,2582,2209,2350,786,1084,673,2879,2497,2067,1775,726,3777,1166,1133,1839.578947
남대천(강릉),강원도 ,강릉시,0,0,0,1377,2959,3638,3268,3765,1906,2498,1765,1473,1063,2282,1716,888,1232,1701,1735,1750.842105
강릉-주문진 해안,강원도 ,강릉시,4396,3684,1884,4959,1624,1668,1890,2271,2799,3020,4706,3449,0,7386,4549,8477,7043,1856,2033,3562.842105
주문진-양양 해안,강원도 ,양양군,546,1033,199,3159,319,4747,10962,674,1955,928,2916,4447,0,3153,4042,6213,1441,3523,2757,2790.210526
남대천(양양),강원도 ,강릉시,0,0,0,775,791,1118,1932,358,834,332,152,1286,2141,3182,1369,1463,1633,1695,998,1055.736842
양양-속초 해안,강원도 ,속초시,628,1140,1010,1034,862,577,978,1672,4934,2459,4098,3135,0,3778,3737,2158,9321,3117,5025,2613.842105
청초호,강원도 ,속초시,1022,1971,846,1571,2416,2170,1553,1253,3472,899,684,1355,0,1663,640,937,1944,1188,1421,1421.315789
영랑호,강원도 ,속초시,1,134,257,8,226,930,357,32,67,253,335,1245,0,1256,672,353,152,613,2095,472.9473684
속초-간성 해안,강원도 ,속초시,1738,1734,227,2498,3034,110,6824,6327,2812,3801,2239,5504,0,8064,10802,6544,7919,4447,8537,4376.894737
송지호,강원도 ,고성군,0,1066,70,32,7,183,99,7,11,112,176,53,0,336,486,841,1347,1338,967,375.3157895
화진포,강원도 ,고성군,0,872,0,1,377,57,74,10,5,54,87,824,0,3825,993,732,200,1415,419,523.4210526
간성-대진해안,강원도 ,동해시,505,2380,952,1835,1704,2422,1581,1513,3148,3667,4067,17461,4761,13650,21220,5169,13518,7334,3791,5825.157895
고성군 해상,강원도 ,고성군,0,0,0,0,0,0,15902,741,406,3189,1154,518,0,3680,4765,1284,1571,4794,2520,2132.842105
성산-남원,제주특별자치도,서귀포시,6369,3171,2611,2283,2376,2304,3957,3668,2345,2800,6066,6177,0,5931,8915,9514,7170,4251,9836,4723.368421
성산,제주특별자치도,서귀포시,4721,5469,4840,10989,3934,5221,3586,4508,3906,2341,5145,3873,5524,2940,3822,3107,2662,5134,3642,4492.842105
용담-대정,제주특별자치도,제주시,17766,8780,7572,13060,7749,4550,18395,10127,20933,16148,16333,11833,13889,6739,5431,8206,5441,9494,19984,11706.84211
서귀-안덕,제주특별자치도,서귀포시,3953,2610,3778,9793,2037,1060,2334,3527,10526,6040,5129,4769,6836,5724,4289,4059,8053,8152,5246,5153.421053
하도리,제주특별자치도,제주시,1762,1960,4906,3945,3252,1966,3963,2149,2603,3579,2802,3682,3945,2891,1214,2367,6471,3195,4616,3224.631579
함덕-하도,제주특별자치도,제주시,2252,1861,1090,3250,1677,5026,3124,5722,2696,3348,3832,3394,0,4233,4992,7572,3645,11582,15850,4481.368421
대아저수지,전라북도,완주군,690,656,222,1296,249,141,75,438,59,56,53,116,0,0,0,0,0,0,0,213.2105263
동상저수지,전라북도,완주군,117,85,90,29,19,39,26,64,30,31,7,113,0,0,0,0,0,0,0,34.21052632
병천천,충청북도,청주시,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5644,3448,1842,1395,648.8947368
안성천,경기도 ,안성시,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2545,1794,1662,1358,387.3157895
공릉천중류,경기도 ,파주시,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1993,1959,3022,2009,472.7894737
황구지천,경기도 ,수원시,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2859,3229,2492,4728,700.4210526
포천천,경기도 ,포천시,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,815,826,806,1633,214.7368421
원주천,강원도 ,원주시,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1862,1720,1192,578,281.6842105
무심천,충청북도,청주시,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,878,608,985,822,173.3157895
보강천,충청북도,증평군,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1217,1164,1066,699,218.2105263
복하천,경기도 ,이천시,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1693,2764,4269,3696,653.7894737
무한천,충청남도,예산군,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2485,1579,2337,1391,410.1052632
해미천,충청남도,서산시,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2379,672,3917,2000,472
전주천,전라북도,전주시,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2962,3102,2513,2037,558.6315789
양산천,경상남도,양산시,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1385,842,585,1703,237.6315789
용수저수지,제주특별자치도,제주시,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
금호강중류,경상북도,영천시,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7323,5832,5505,12957,1664.05
삽교천,충청남도,아산시,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8204,653,12224,2080,1219
경안천,경기도 ,용인시,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
공릉천하류,경기도 ,파주시,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3620,2530,1829,419.95
화포천,경상남도,김해시,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1182,5289,5762,643.84
화성호,경기도 ,화성시,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
보령호,충청남도,보령시,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1530,3654,2036,380
천수만,충청남도,태안군,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3506,4680,2608,568.11
고막원천,전라남도,장성군,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,909,47.84
논산천,충청남도,논산시,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2744,144.42
신천,경기도 ,동두천시,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,973,51.21
원천리천,경기도 ,수원시,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,377,19.84
원평천,전라북도,김제시,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30649,1613.11
장척저수지,경상남도,창녕군,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,749,39.42
