주소,축종,사육수,진단일,발생일,지역코드,지역명,시도,시군구,location,date,avg_temperature(C),daily_rain(mm),avg_wind(m/s),avg_r_humidity(%)
경기도 용인시 처인구 백암면 박곡리,닭-산란계,196000,20161214,20161209,203,이천,경기도,용인시,이천,20161209,2.1,1.4,1.7,64.5
경기도 용인시 처인구 백암면 박곡리,닭-산란계,200000,20110306,20110306,203,이천,경기도,용인시,이천,20110306,2.9,0.0,1.4,69.3
경기도 용인시 처인구 백암면 석천리,닭-산란계,203000,20161218,20161213,203,이천,경기도,용인시,이천,20161213,2.2,0.0,1.0,64.1
경기도 용인시 처인구 백암면 석천리,닭-산란계,110000,20161218,20161213,203,이천,경기도,용인시,이천,20161213,2.2,0.0,1.0,64.1
경기도 용인시 처인구 백암면 옥산리,닭-산란계,188000,20210119,20210118,203,이천,경기도,용인시,이천,20210118,-3.6,1.3,1.8,72.0
경기도 용인시 처인구 백암면 옥산리,닭-산란계,240000,20161218,20161213,203,이천,경기도,용인시,이천,20161213,2.2,0.0,1.0,64.1
경기도 용인시 처인구 백암면 장평리,닭-산란계,19000,20210201,20210129,203,이천,경기도,용인시,이천,20210129,-7.5,0.0,2.4,37.0
경기도 용인시 처인구 원삼면 문촌리,오리-종오리,6000,20201223,20201220,203,이천,경기도,용인시,이천,20201220,-5.1,0.0,0.9,60.1
경기도 의정부시 용현동,닭-토종닭,48,20150420,20150416,98,동두천,경기도,의정부시,동두천,20150416,10.4,3.9,3.1,62.0
경기도 이천시 대월면 대대리,오리-육용오리,5500,20161216,20161211,203,이천,경기도,이천시,이천,20161211,-2.9,0.0,0.8,57.8
경기도 이천시 대월면 대흥리,닭-산란계,54000,20161216,20161211,203,이천,경기도,이천시,이천,20161211,-2.9,0.0,0.8,57.8
경기도 이천시 대월면 초지리,닭-산란계,360000,20161207,20161203,203,이천,경기도,이천시,이천,20161203,1.3,0.0,0.7,63.4
경기도 이천시 마장면 이치리,오리-종오리,10907,20160323,20160323,203,이천,경기도,이천시,이천,20160323,7.6,0.0,1.8,53.4
경기도 이천시 모가면 원두리,오리-육용오리,18600,20161207,20161201,203,이천,경기도,이천시,이천,20161201,4.8,0.0,2.4,48.6
경기도 이천시 백사면 도립리,닭-산란계,119000,20210214,20210213,203,이천,경기도,이천시,이천,20210213,5.0,0.0,0.5,58.4
경기도 이천시 부발읍 가산리,닭-산란계,241000,20210214,20210213,203,이천,경기도,이천시,이천,20210213,5.0,0.0,0.5,58.4
경기도 이천시 부발읍 가산리,닭-산란계,200000,20161129,20161127,203,이천,경기도,이천시,이천,20161127,1.6,0.0,0.6,88.6
경기도 이천시 설성면 상봉리,닭-종계,21000,20110217,20110217,203,이천,경기도,이천시,이천,20110217,0.3,1.3,1.4,77.5
경기도 이천시 설성면 신필리,닭-산란계,10000,20161209,20161204,203,이천,경기도,이천시,이천,20161204,1.6,0.0,0.5,74.1
경기도 이천시 설성면 신필리,닭-토종닭,27300,20161218,20161214,203,이천,경기도,이천시,이천,20161214,-0.5,0.7,1.5,75.8
경기도 이천시 설성면 신필리,오리-육용오리,3000,20161203,20161130,203,이천,경기도,이천시,이천,20161130,4.4,0.4,0.9,66.4
경기도 이천시 설성면 암산리,닭-토종닭,23000,20161210,20161205,203,이천,경기도,이천시,이천,20161205,5.5,0.1,1.7,65.9
경기도 이천시 설성면 장능리,닭-산란계,95000,20161209,20161204,203,이천,경기도,이천시,이천,20161204,1.6,0.0,0.5,74.1
경기도 이천시 설성면 장능리,닭-토종닭,26500,20110121,20110121,203,이천,경기도,이천시,이천,20110121,-8.5,0.0,1.3,60.0
경기도 이천시 설성면 장천리,닭-산란계,146000,20210202,20210201,203,이천,경기도,이천시,이천,20210201,4.3,3.2,1.3,85.1
경기도 이천시 설성면 장천리,닭-산란계,160000,20161129,20161125,203,이천,경기도,이천시,이천,20161125,-1.5,0.0,0.9,60.5
경기도 이천시 설성면 장천리,닭-산란계,156704,20150225,20150210,203,이천,경기도,이천시,이천,20150210,2.0,0.0,2.1,59.0
경기도 이천시 설성면 장천리,오리-종오리,8300,20110122,20110122,203,이천,경기도,이천시,이천,20110122,-6.0,0.0,1.0,68.5
경기도 이천시 설성면 행죽리,닭-종계,60000,20161207,20161202,203,이천,경기도,이천시,이천,20161202,0.3,0.0,1.1,47.9
경기도 이천시 설성면 행죽리,닭-종계,16000,20110114,20110114,203,이천,경기도,이천시,이천,20110114,-7.1,1.6,0.7,69.9
경기도 이천시 율면 본죽리,닭-산란계,75500,20161214,20161208,203,이천,경기도,이천시,이천,20161208,-1.5,1.7,0.5,85.6
경기도 이천시 율면 본죽리,닭-산란계,90000,20140422,20140420,203,이천,경기도,이천시,이천,20140420,13.7,0.0,1.8,44.9
경기도 이천시 율면 석산리,메추리-비분류,620000,20161206,20161203,203,이천,경기도,이천시,이천,20161203,1.3,0.0,0.7,63.4
경기도 이천시 율면 석산리,메추리-비분류,430000,20140508,20140430,203,이천,경기도,이천시,이천,20140430,16.0,0.0,1.4,56.8
경기도 이천시 율면 신추리,닭-산란계,50000,20210130,20210129,203,이천,경기도,이천시,이천,20210129,-7.5,0.0,2.4,37.0
경기도 이천시 율면 신추리,닭-산란계,47060,20161220,20161215,203,이천,경기도,이천시,이천,20161215,-2.8,0.0,2.0,42.4
경기도 이천시 율면 신추리,닭-산란계,43728,20031225,20031225,203,이천,경기도,이천시,이천,20031225,0.0,0.0,1.6,66.1
경기도 이천시 율면 신추리,닭-산란계,43728,20031225,20031225,203,이천,경기도,이천시,이천,20031225,0.0,0.0,1.6,66.1
경기도 이천시 율면 월포리,닭-육계,71700,20161220,20161214,203,이천,경기도,이천시,이천,20161214,-0.5,0.7,1.5,75.8
경기도 이천시 장호원읍 나래리,닭-산란계,478000,20210122,20210121,203,이천,경기도,이천시,이천,20210121,1.8,5.8,0.4,75.9
경기도 이천시 장호원읍 나래리,닭-산란계,278100,20161224,20161218,203,이천,경기도,이천시,이천,20161218,1.9,0.0,0.7,76.3
경기도 이천시 장호원읍 나래리,닭-산란계,289800,20150126,20150121,203,이천,경기도,이천시,이천,20150121,1.1,4.1,0.5,69.0
경기도 이천시 장호원읍 선읍리,메추리-비분류,164482,20161224,20161218,203,이천,경기도,이천시,이천,20161218,1.9,0.0,0.7,76.3
