지역,month,year,밀집도,발생건수
경상남도,6,2016,109.42298909999998,3.0
경상남도,6,2017,105.85661019999999,3.0
경상남도,6,2018,107.1534752,3.0
경상남도,6,2019,113.7999086,3.0
경상남도,6,2020,107.8019078,3.0
경상남도,7,2012,129.84861370000002,0.0
경상남도,7,2013,122.06742340000002,0.0
경상남도,7,2014,113.3135842,0.0
경상남도,7,2015,111.04407040000001,0.0
경상남도,7,2016,109.42298909999998,0.0
경상남도,7,2017,105.85661019999999,0.0
경상남도,7,2018,107.1534752,0.0
경상남도,7,2019,113.7999086,0.0
경상남도,7,2020,107.8019078,0.0
경상남도,8,2012,129.84861370000002,0.0
경상남도,8,2013,122.06742340000002,0.0
경상남도,8,2014,113.3135842,0.0
경상남도,8,2015,111.04407040000001,0.0
경상남도,8,2016,109.42298909999998,0.0
경상남도,8,2017,105.85661019999999,0.0
경상남도,8,2018,107.1534752,0.0
경상남도,8,2019,113.7999086,0.0
경상남도,8,2020,107.8019078,0.0
경상남도,9,2012,129.84861370000002,0.0
경상남도,9,2013,122.06742340000002,0.0
경상남도,9,2014,113.3135842,0.0
경상남도,9,2015,111.04407040000001,0.0
경상남도,9,2016,109.42298909999998,0.0
경상남도,9,2017,105.85661019999999,0.0
경상남도,9,2018,107.1534752,0.0
경상남도,9,2019,113.7999086,0.0
경상남도,9,2020,107.8019078,0.0
경상남도,10,2012,129.84861370000002,0.0
경상남도,10,2013,122.06742340000002,0.0
경상남도,10,2014,113.3135842,0.0
경상남도,10,2015,111.04407040000001,0.0
경상남도,10,2016,109.42298909999998,0.0
경상남도,10,2017,105.85661019999999,0.0
경상남도,10,2018,107.1534752,0.0
경상남도,10,2019,113.7999086,0.0
경상남도,10,2020,107.8019078,0.0
경상남도,11,2012,129.84861370000002,0.0
경상남도,11,2013,122.06742340000002,0.0
경상남도,11,2014,113.3135842,0.0
경상남도,11,2015,111.04407040000001,0.0
경상남도,11,2016,109.42298909999998,0.0
경상남도,11,2017,105.85661019999999,0.0
경상남도,11,2018,107.1534752,0.0
경상남도,11,2019,113.7999086,0.0
경상남도,11,2020,107.8019078,0.0
경상남도,12,2012,129.84861370000002,4.0
경상남도,12,2013,122.06742340000002,4.0
경상남도,12,2014,113.3135842,4.0
경상남도,12,2015,111.04407040000001,4.0
경상남도,12,2016,109.42298909999998,4.0
경상남도,12,2017,105.85661019999999,4.0
경상남도,12,2018,107.1534752,4.0
경상남도,12,2019,113.7999086,4.0
경상남도,12,2020,107.8019078,4.0
경상북도,1,2012,488.6320409,0.0
경상북도,1,2013,424.223655,0.0
경상북도,1,2014,389.11382050000003,0.0
경상북도,1,2015,407.27407969999996,0.0
경상북도,1,2016,385.23963189999995,0.0
경상북도,1,2017,365.3844152,0.0
경상북도,1,2018,367.0793727,0.0
경상북도,1,2019,332.211675,0.0
경상북도,1,2020,328.57962319999996,0.0
경상북도,2,2012,488.6320409,0.0
경상북도,2,2013,424.223655,0.0
경상북도,2,2014,389.11382050000003,0.0
경상북도,2,2015,407.27407969999996,0.0
경상북도,2,2016,385.23963189999995,0.0
경상북도,2,2017,365.3844152,0.0
경상북도,2,2018,367.0793727,0.0
경상북도,2,2019,332.211675,0.0
경상북도,2,2020,328.57962319999996,0.0
경상북도,3,2012,488.6320409,2.0
경상북도,3,2013,424.223655,2.0
경상북도,3,2014,389.11382050000003,2.0
경상북도,3,2015,407.27407969999996,2.0
경상북도,3,2016,385.23963189999995,2.0
경상북도,3,2017,365.3844152,2.0
경상북도,3,2018,367.0793727,2.0
경상북도,3,2019,332.211675,2.0
경상북도,3,2020,328.57962319999996,2.0
경상북도,4,2012,488.6320409,0.0
경상북도,4,2013,424.223655,0.0
경상북도,4,2014,389.11382050000003,0.0
경상북도,4,2015,407.27407969999996,0.0
경상북도,4,2016,385.23963189999995,0.0
경상북도,4,2017,365.3844152,0.0
경상북도,4,2018,367.0793727,0.0
경상북도,4,2019,332.211675,0.0
경상북도,4,2020,328.57962319999996,0.0
경상북도,5,2012,488.6320409,0.0
경상북도,5,2013,424.223655,0.0
경상북도,5,2014,389.11382050000003,0.0
경상북도,5,2015,407.27407969999996,0.0
경상북도,5,2016,385.23963189999995,0.0
경상북도,5,2017,365.3844152,0.0
경상북도,5,2018,367.0793727,0.0
경상북도,5,2019,332.211675,0.0
경상북도,5,2020,328.57962319999996,0.0
경상북도,6,2012,488.6320409,0.0
경상북도,6,2013,424.223655,0.0
경상북도,6,2014,389.11382050000003,0.0
경상북도,6,2015,407.27407969999996,0.0
경상북도,6,2016,385.23963189999995,0.0
경상북도,6,2017,365.3844152,0.0
경상북도,6,2018,367.0793727,0.0
경상북도,6,2019,332.211675,0.0
경상북도,6,2020,328.57962319999996,0.0
경상북도,7,2012,488.6320409,0.0
경상북도,7,2013,424.223655,0.0
경상북도,7,2014,389.11382050000003,0.0
경상북도,7,2015,407.27407969999996,0.0
경상북도,7,2016,385.23963189999995,0.0
경상북도,7,2017,365.3844152,0.0
경상북도,7,2018,367.0793727,0.0
경상북도,7,2019,332.211675,0.0
경상북도,7,2020,328.57962319999996,0.0
경상북도,8,2012,488.6320409,0.0
경상북도,8,2013,424.223655,0.0
경상북도,8,2014,389.11382050000003,0.0
경상북도,8,2015,407.27407969999996,0.0
경상북도,8,2016,385.23963189999995,0.0
경상북도,8,2017,365.3844152,0.0
경상북도,8,2018,367.0793727,0.0
경상북도,8,2019,332.211675,0.0
경상북도,8,2020,328.57962319999996,0.0
경상북도,9,2012,488.6320409,0.0
경상북도,9,2013,424.223655,0.0
경상북도,9,2014,389.11382050000003,0.0
경상북도,9,2015,407.27407969999996,0.0
경상북도,9,2016,385.23963189999995,0.0
경상북도,9,2017,365.3844152,0.0
경상북도,9,2018,367.0793727,0.0
경상북도,9,2019,332.211675,0.0
경상북도,9,2020,328.57962319999996,0.0
경상북도,10,2012,488.6320409,0.0
경상북도,10,2013,424.223655,0.0
경상북도,10,2014,389.11382050000003,0.0
경상북도,10,2015,407.27407969999996,0.0
경상북도,10,2016,385.23963189999995,0.0
경상북도,10,2017,365.3844152,0.0
경상북도,10,2018,367.0793727,0.0
경상북도,10,2019,332.211675,0.0
