year,month,day,시군구index,철새수,발생거리,평균온도,일강수량,위험도,code
2021,9,1,74,0,132.54,24.3,0.0,2.5,41360
2021,9,1,75,0,78.29,24.3,0.0,2.5,41370
2021,9,1,76,0,107.55,24.3,0.0,2.5,41390
2021,9,1,77,0,103.04,24.3,0.0,2.5,41410
2021,9,1,78,0,100.79,24.3,0.0,2.5,41430
2021,9,1,79,0,121.81,24.3,0.0,2.5,41450
2021,9,1,80,0,88.52,24.3,0.0,2.5,41461
2021,9,1,80,0,88.52,24.3,0.0,2.5,41463
2021,9,1,80,0,88.52,24.3,0.0,2.5,41465
2021,9,1,81,0,149.13,24.3,0.0,2.5,41480
2021,9,1,82,0,96.03,24.3,0.0,2.5,41500
2021,9,1,83,0,64.06,24.3,0.0,5.0,41550
2021,9,1,84,0,134.81,24.3,0.0,2.5,41570
2021,9,1,85,0,87.56,24.3,0.0,2.5,41590
2021,9,1,86,0,109.96,24.3,0.0,2.5,41610
2021,9,1,87,0,149.01,24.3,0.0,2.5,41630
2021,9,1,88,0,161.21,24.3,0.0,0.0,41650
2021,9,1,89,0,105.33,24.3,0.0,2.5,41670
2021,9,1,90,0,183.53,24.3,0.0,0.0,41800
2021,9,1,91,0,157.84,24.3,0.0,0.0,41820
2021,9,1,92,0,120.75,24.3,0.0,2.5,41830
2021,9,1,94,0,168.48,22.3,0.4,0.0,42110
2021,9,1,95,0,122.45,22.3,0.4,2.5,42130
2021,9,1,96,0,212.95,22.7,0.6,0.0,42150
2021,9,1,97,0,213.95,22.7,0.6,0.0,42170
2021,9,1,98,0,184.35,22.7,0.6,0.0,42190
2021,9,1,99,0,235.12,22.7,0.6,0.0,42210
2021,9,1,100,0,213.32,22.7,0.6,0.0,42230
2021,9,1,101,0,154.92,22.3,0.4,2.5,42720
2021,9,1,102,0,139.38,22.3,0.4,2.5,42730
2021,9,1,103,0,144.94,22.3,0.4,2.5,42750
2021,9,1,104,0,152.75,22.3,0.4,2.5,42760
2021,9,1,105,0,171.98,22.3,0.4,0.0,42770
2021,9,1,106,0,189.85,22.3,0.4,0.0,42780
2021,9,1,107,0,191.76,22.3,0.4,0.0,42790
2021,9,1,108,0,200.37,22.3,0.4,0.0,42800
2021,9,1,109,0,203.06,22.3,0.4,0.0,42810
2021,9,1,110,0,245.84,22.7,0.6,0.0,42820
2021,9,1,111,0,224.56,22.7,0.6,0.0,42830
2021,9,1,113,0,39.58,22.8,0.8,5.0,43111
2021,9,1,113,0,39.58,22.8,0.8,5.0,43112
2021,9,1,113,0,39.58,22.8,0.8,5.0,43113
2021,9,1,113,0,39.58,22.8,0.8,5.0,43114
2021,9,1,114,0,94.02,22.8,0.8,2.5,43130
2021,9,1,115,0,122.2,22.8,0.8,2.5,43150
2021,9,1,116,0,54.8,22.8,0.8,5.0,43720
2021,9,1,117,0,43.39,22.8,0.8,5.0,43730
2021,9,1,118,0,66.75,22.8,0.8,5.0,43740
2021,9,1,119,0,55.88,22.8,0.8,5.0,43745
2021,9,1,120,0,53.52,22.8,0.8,5.0,43750
2021,9,1,121,0,72.33,22.8,0.8,5.0,43760
2021,9,1,122,0,74.9,22.8,0.8,5.0,43770
2021,9,1,123,0,126.19,22.8,0.8,2.5,43800
2021,9,1,125,0,40.99,23.7,1.9,5.0,44131
2021,9,1,125,0,40.99,23.7,1.9,5.0,44133
2021,9,1,126,0,0.0,23.7,1.9,10,44150
2021,9,1,127,0,47.03,23.7,1.9,5.0,44180
2021,9,1,128,0,39.58,23.7,1.9,5.0,44200
2021,9,1,129,0,70.56,23.7,1.9,5.0,44210
2021,9,1,130,0,28.89,23.7,1.9,5.0,44230
2021,9,1,131,0,22.37,23.7,1.9,5.0,44250
2021,9,1,132,0,64.9,23.7,1.9,5.0,44270
2021,9,1,133,0,50.05,23.7,1.9,5.0,44710
2021,9,1,134,0,26.69,23.7,1.9,5.0,44760
2021,9,1,135,0,55.91,23.7,1.9,5.0,44770
2021,9,1,136,0,28.37,23.7,1.9,5.0,44790
2021,9,1,137,0,44.42,23.7,1.9,8.5,44800
2021,9,1,138,0,35.77,23.7,1.9,8.5,44810
2021,9,1,139,0,80.49,23.7,1.9,2.5,44825
