month,시도,avg_temp(C),daily_rain(mm),avg_wind(m/s),avg_r_humidity(%),index_avg_temp(C),index_daily_rain(mm),index_avg_wind(m/s),index_avg_r_humidity(%),Risk
8,충청남도,0,0,0,0,0,0,0,0,0.0
8,충청남도,0,0,0,0,0,0,0,0,0.0
8,충청남도,0,0,0,0,0,0,0,0,0.0
8,충청남도,0,0,0,0,0,0,0,0,0.0
8,충청남도,0,0,0,0,0,0,0,0,0.0
8,충청남도,0,0,0,0,0,0,0,0,0.0
8,충청남도,0,0,0,0,0,0,0,0,0.0
8,충청남도,0,0,0,0,0,0,0,0,0.0
8,충청남도,0,0,0,0,0,0,0,0,0.0
8,대구광역시,0,0,0,0,0,0,0,0,0.0
8,대구광역시,0,0,0,0,0,0,0,0,0.0
8,대구광역시,0,0,0,0,0,0,0,0,0.0
8,대구광역시,0,0,0,0,0,0,0,0,0.0
8,대구광역시,0,0,0,0,0,0,0,0,0.0
8,대구광역시,0,0,0,0,0,0,0,0,0.0
8,대구광역시,0,0,0,0,0,0,0,0,0.0
8,대구광역시,0,0,0,0,0,0,0,0,0.0
8,대구광역시,0,0,0,0,0,0,0,0,0.0
8,대구광역시,0,0,0,0,0,0,0,0,0.0
8,서울특별시,0,0,0,0,0,0,0,0,0.0
8,서울특별시,0,0,0,0,0,0,0,0,0.0
8,서울특별시,0,0,0,0,0,0,0,0,0.0
8,서울특별시,0,0,0,0,0,0,0,0,0.0
8,서울특별시,0,0,0,0,0,0,0,0,0.0
8,서울특별시,0,0,0,0,0,0,0,0,0.0
8,서울특별시,0,0,0,0,0,0,0,0,0.0
8,서울특별시,0,0,0,0,0,0,0,0,0.0
8,서울특별시,0,0,0,0,0,0,0,0,0.0
8,서울특별시,0,0,0,0,0,0,0,0,0.0
8,충청북도,0,0,0,0,0,0,0,0,0.0
8,충청북도,0,0,0,0,0,0,0,0,0.0
8,충청북도,0,0,0,0,0,0,0,0,0.0
8,충청북도,0,0,0,0,0,0,0,0,0.0
8,충청북도,0,0,0,0,0,0,0,0,0.0
8,충청북도,0,0,0,0,0,0,0,0,0.0
8,충청북도,0,0,0,0,0,0,0,0,0.0
8,충청북도,0,0,0,0,0,0,0,0,0.0
8,충청북도,0,0,0,0,0,0,0,0,0.0
8,충청북도,0,0,0,0,0,0,0,0,0.0
8,광주광역시,0,0,0,0,0,0,0,0,0.0
8,광주광역시,0,0,0,0,0,0,0,0,0.0
8,광주광역시,0,0,0,0,0,0,0,0,0.0
8,광주광역시,0,0,0,0,0,0,0,0,0.0
8,광주광역시,0,0,0,0,0,0,0,0,0.0
8,광주광역시,0,0,0,0,0,0,0,0,0.0
8,광주광역시,0,0,0,0,0,0,0,0,0.0
8,광주광역시,0,0,0,0,0,0,0,0,0.0
8,광주광역시,0,0,0,0,0,0,0,0,0.0
8,광주광역시,0,0,0,0,0,0,0,0,0.0
8,울산광역시,0,0,0,0,0,0,0,0,0.0
8,울산광역시,0,0,0,0,0,0,0,0,0.0
8,울산광역시,0,0,0,0,0,0,0,0,0.0
8,울산광역시,0,0,0,0,0,0,0,0,0.0
8,울산광역시,0,0,0,0,0,0,0,0,0.0
8,울산광역시,0,0,0,0,0,0,0,0,0.0
8,울산광역시,0,0,0,0,0,0,0,0,0.0
8,울산광역시,0,0,0,0,0,0,0,0,0.0
8,울산광역시,0,0,0,0,0,0,0,0,0.0
8,울산광역시,0,0,0,0,0,0,0,0,0.0
8,제주특별자치도,0,0,0,0,0,0,0,0,0.0
8,제주특별자치도,0,0,0,0,0,0,0,0,0.0
8,제주특별자치도,0,0,0,0,0,0,0,0,0.0
8,제주특별자치도,0,0,0,0,0,0,0,0,0.0
8,제주특별자치도,0,0,0,0,0,0,0,0,0.0
8,제주특별자치도,0,0,0,0,0,0,0,0,0.0
8,제주특별자치도,0,0,0,0,0,0,0,0,0.0
8,제주특별자치도,0,0,0,0,0,0,0,0,0.0
8,제주특별자치도,0,0,0,0,0,0,0,0,0.0
8,제주특별자치도,0,0,0,0,0,0,0,0,0.0
8,강원도,0,0,0,0,0,0,0,0,0.0
8,강원도,0,0,0,0,0,0,0,0,0.0
8,강원도,0,0,0,0,0,0,0,0,0.0
8,강원도,0,0,0,0,0,0,0,0,0.0
8,강원도,0,0,0,0,0,0,0,0,0.0
8,강원도,0,0,0,0,0,0,0,0,0.0
8,강원도,0,0,0,0,0,0,0,0,0.0
8,강원도,0,0,0,0,0,0,0,0,0.0
8,강원도,0,0,0,0,0,0,0,0,0.0
8,강원도,0,0,0,0,0,0,0,0,0.0
8,경상남도,0,0,0,0,0,0,0,0,0.0
8,경상남도,0,0,0,0,0,0,0,0,0.0
8,경상남도,0,0,0,0,0,0,0,0,0.0
8,경상남도,0,0,0,0,0,0,0,0,0.0
8,경상남도,0,0,0,0,0,0,0,0,0.0
8,경상남도,0,0,0,0,0,0,0,0,0.0
8,경상남도,0,0,0,0,0,0,0,0,0.0
8,경상남도,0,0,0,0,0,0,0,0,0.0
8,경상남도,0,0,0,0,0,0,0,0,0.0
8,경상남도,0,0,0,0,0,0,0,0,0.0
8,경기도,0,0,0,0,0,0,0,0,0.0
8,경기도,0,0,0,0,0,0,0,0,0.0
8,경기도,0,0,0,0,0,0,0,0,0.0
8,경기도,0,0,0,0,0,0,0,0,0.0
8,경기도,0,0,0,0,0,0,0,0,0.0
8,경기도,0,0,0,0,0,0,0,0,0.0
8,경기도,0,0,0,0,0,0,0,0,0.0
8,경기도,0,0,0,0,0,0,0,0,0.0
8,경기도,0,0,0,0,0,0,0,0,0.0
8,경기도,0,0,0,0,0,0,0,0,0.0
8,전라남도,0,0,0,0,0,0,0,0,0.0
8,전라남도,0,0,0,0,0,0,0,0,0.0
8,전라남도,0,0,0,0,0,0,0,0,0.0
8,전라남도,0,0,0,0,0,0,0,0,0.0
8,전라남도,0,0,0,0,0,0,0,0,0.0
8,전라남도,0,0,0,0,0,0,0,0,0.0
8,전라남도,0,0,0,0,0,0,0,0,0.0
8,전라남도,0,0,0,0,0,0,0,0,0.0
8,전라남도,0,0,0,0,0,0,0,0,0.0
8,전라남도,0,0,0,0,0,0,0,0,0.0
8,전라북도,0,0,0,0,0,0,0,0,0.0
8,전라북도,0,0,0,0,0,0,0,0,0.0
8,전라북도,0,0,0,0,0,0,0,0,0.0
8,전라북도,0,0,0,0,0,0,0,0,0.0
8,전라북도,0,0,0,0,0,0,0,0,0.0
8,전라북도,0,0,0,0,0,0,0,0,0.0
8,전라북도,0,0,0,0,0,0,0,0,0.0
8,전라북도,0,0,0,0,0,0,0,0,0.0
8,전라북도,0,0,0,0,0,0,0,0,0.0
8,전라북도,0,0,0,0,0,0,0,0,0.0
8,경상북도,0,0,0,0,0,0,0,0,0.0
8,경상북도,0,0,0,0,0,0,0,0,0.0
8,경상북도,0,0,0,0,0,0,0,0,0.0
8,경상북도,0,0,0,0,0,0,0,0,0.0
8,경상북도,0,0,0,0,0,0,0,0,0.0
8,경상북도,0,0,0,0,0,0,0,0,0.0
8,경상북도,0,0,0,0,0,0,0,0,0.0
8,경상북도,0,0,0,0,0,0,0,0,0.0
8,경상북도,0,0,0,0,0,0,0,0,0.0
8,경상북도,0,0,0,0,0,0,0,0,0.0
8,부산광역시,0,0,0,0,0,0,0,0,0.0
8,부산광역시,0,0,0,0,0,0,0,0,0.0
8,부산광역시,0,0,0,0,0,0,0,0,0.0
8,부산광역시,0,0,0,0,0,0,0,0,0.0
8,부산광역시,0,0,0,0,0,0,0,0,0.0
8,부산광역시,0,0,0,0,0,0,0,0,0.0
8,부산광역시,0,0,0,0,0,0,0,0,0.0
8,부산광역시,0,0,0,0,0,0,0,0,0.0
8,부산광역시,0,0,0,0,0,0,0,0,0.0
8,부산광역시,0,0,0,0,0,0,0,0,0.0
8,세종특별자치시,0,0,0,0,0,0,0,0,0.0
8,세종특별자치시,0,0,0,0,0,0,0,0,0.0
8,세종특별자치시,0,0,0,0,0,0,0,0,0.0
8,세종특별자치시,0,0,0,0,0,0,0,0,0.0
8,세종특별자치시,0,0,0,0,0,0,0,0,0.0
8,세종특별자치시,0,0,0,0,0,0,0,0,0.0
8,세종특별자치시,0,0,0,0,0,0,0,0,0.0
8,세종특별자치시,0,0,0,0,0,0,0,0,0.0
8,세종특별자치시,0,0,0,0,0,0,0,0,0.0
8,세종특별자치시,0,0,0,0,0,0,0,0,0.0
8,대전광역시,0,0,0,0,0,0,0,0,0.0
8,대전광역시,0,0,0,0,0,0,0,0,0.0
8,대전광역시,0,0,0,0,0,0,0,0,0.0
8,대전광역시,0,0,0,0,0,0,0,0,0.0
8,대전광역시,0,0,0,0,0,0,0,0,0.0
8,대전광역시,0,0,0,0,0,0,0,0,0.0
8,대전광역시,0,0,0,0,0,0,0,0,0.0
8,대전광역시,0,0,0,0,0,0,0,0,0.0
8,대전광역시,0,0,0,0,0,0,0,0,0.0
8,대전광역시,0,0,0,0,0,0,0,0,0.0
9,인천광역시,0,0,0,0,0,0,0,0,0.0
9,인천광역시,0,0,0,0,0,0,0,0,0.0
9,인천광역시,0,0,0,0,0,0,0,0,0.0
9,인천광역시,0,0,0,0,0,0,0,0,0.0
9,인천광역시,0,0,0,0,0,0,0,0,0.0
9,인천광역시,0,0,0,0,0,0,0,0,0.0
9,인천광역시,0,0,0,0,0,0,0,0,0.0
9,인천광역시,0,0,0,0,0,0,0,0,0.0
9,인천광역시,0,0,0,0,0,0,0,0,0.0
9,인천광역시,0,0,0,0,0,0,0,0,0.0
9,충청남도,0,0,0,0,0,0,0,0,0.0
9,충청남도,0,0,0,0,0,0,0,0,0.0
9,충청남도,0,0,0,0,0,0,0,0,0.0
9,충청남도,0,0,0,0,0,0,0,0,0.0
9,충청남도,0,0,0,0,0,0,0,0,0.0
9,충청남도,0,0,0,0,0,0,0,0,0.0
9,충청남도,0,0,0,0,0,0,0,0,0.0
9,충청남도,0,0,0,0,0,0,0,0,0.0
9,충청남도,0,0,0,0,0,0,0,0,0.0
9,충청남도,0,0,0,0,0,0,0,0,0.0
9,대구광역시,0,0,0,0,0,0,0,0,0.0
9,대구광역시,0,0,0,0,0,0,0,0,0.0
9,대구광역시,0,0,0,0,0,0,0,0,0.0
9,대구광역시,0,0,0,0,0,0,0,0,0.0
9,대구광역시,0,0,0,0,0,0,0,0,0.0
9,대구광역시,0,0,0,0,0,0,0,0,0.0
9,대구광역시,0,0,0,0,0,0,0,0,0.0
9,대구광역시,0,0,0,0,0,0,0,0,0.0
9,대구광역시,0,0,0,0,0,0,0,0,0.0
9,대구광역시,0,0,0,0,0,0,0,0,0.0
9,서울특별시,0,0,0,0,0,0,0,0,0.0
9,서울특별시,0,0,0,0,0,0,0,0,0.0
9,서울특별시,0,0,0,0,0,0,0,0,0.0
9,서울특별시,0,0,0,0,0,0,0,0,0.0
9,서울특별시,0,0,0,0,0,0,0,0,0.0
