index,지역,철새도래지명,시도,시군,위험분류,위험분류 점수,위도,경도,"위도,경도"
34,충청남도,삽교호,충청남도,아산시,중위험,2,36.87187868,126.8408688,"36.871878675924705, 126.8408688154442"
35,충청남도,해미천,충청남도,서산시,중위험,2,36.70222363,126.5626302,"36.702223625170994, 126.56263020795463"
36,충청남도,봉선저수지,충청남도,서천군,중위험,2,36.12235032,126.7767201,"36.122350318713586, 126.77672013431376"
37,충청남도,아산호,충청남도,아산시,중위험,2,36.90267013,126.9036607,"36.90267012782007, 126.90366071698058"
38,충청남도,잠홍지,충청남도,서산시,중위험,2,36.86183091,126.4975194,"36.86183091315654, 126.49751943843305"
39,충청남도,석문간척지,충청남도,당진시,중위험,2,36.98373311,126.5438473,"36.98373310641944, 126.54384726738202"
40,충청남도,대호,충청남도,당진시,중위험,2,37.01841762,126.4822208,"37.018417616519976, 126.48222083422783"
41,충청남도,무한천,충청남도,예산군,중위험,2,36.71991195,126.822424,"36.71991194571029, 126.82242403818584"
42,충청남도,부남호,충청남도,서산시,중위험,2,36.67319913,126.3508302,"36.67319913351787, 126.35083023955421"
43,전라북도,조류지,전라북도,부안군,중위험,2,35.78350572,126.6354282,"35.7835057158404, 126.63542818010029"
44,전라북도,금강하구둑,전라북도,군산시,고위험,1,36.01958108,126.7477486,"36.019581075069965, 126.74774856012905"
45,전라북도,만경강,전라북도,익산시,고위험,1,35.89219815,126.9939982,"35.892198153374686, 126.99399821147692"
46,전라북도,동림저수지,전라북도,고창군,고위험,1,35.54980287,126.719404,"35.549802869235755, 126.71940396468966"
47,전라북도,동진강,전라북도,정읍시,고위험,1,35.68373784,126.860795,"35.68373784028254, 126.86079504883465"
48,전라북도,원평천,전라북도,김제시,저위험,3,35.7464798,126.9385043,"35.74647979945319, 126.93850431156142"
49,전라북도,전주천,전라북도,전주시,중위험,2,35.80206028,127.1716072,"35.802060277740146, 127.1716072485318"
50,전라남도,산수저수지,전라남도,서산시,중위험,2,36.6994319,126.5685227,"36.6994319040145, 126.56852268525259"
51,전라남도,함평대동저수지,전라남도,함평군,중위험,2,35.13211104,126.5060791,"35.13211104219479, 126.50607906456341"
52,전라남도,사내간척지,전라남도,강진군,중위험,2,34.46251975,126.7333379,"34.46251975253601, 126.7333378843619"
53,전라남도,만덕간척지,전라남도,강진군,중위험,2,34.56578322,126.7615639,"34.56578321910065, 126.7615639132014"
54,전라남도,고막원천,전라남도,함평군,중위험,2,35.06842526,126.5916247,"35.06842526203833, 126.59162469994376"
55,전라남도,주암댐,전라남도,순천시,중위험,2,35.06371924,127.2376778,"35.06371924138319, 127.23767782670512"
56,전라남도,영산강,전라남도,목포시,중위험,2,34.7689381,126.3509897,"34.76893810284395, 126.35098968807019"
57,전라남도,영암호,전라남도,해남군,고위험,1,34.6972457,126.4753703,"34.69724570173779, 126.47537026437189"
58,전라남도,고천암,전라남도,해남군,중위험,2,34.52161252,126.4745766,"34.52161252340564, 126.47457655553478"
59,전라남도,순천만,전라남도,순천시,고위험,1,34.88677476,127.5072908,"34.88677475630541, 127.50729078209247"
60,전라남도,금호호,전라남도,해남군,고위험,1,34.6205724,126.3984065,"34.62057239836871, 126.39840653700985"
61,전라남도,강진만,전라남도,강진군,중위험,2,34.49079167,126.7735482,"34.490791668173664, 126.77354817448324"
62,전라남도,지석천,전라남도,화순군,중위험,2,35.00917067,126.9113644,"35.00917066621701, 126.9113644244127"
63,전라남도,우습제,전라남도,나주시,중위험,2,34.94017348,126.5795116,"34.94017348080215, 126.57951161334536"
64,전라남도,담양습지,전라남도,담양군,저위험,3,35.24009557,126.8838792,"35.24009556727233, 126.88387920926465"
65,전라남도,황룡강,전라남도,장성군,중위험,2,35.32701484,126.7978365,"35.32701483996603, 126.79783650573678"
66,강원도,한탄강,강원도,철원군,중위험,2,38.20119541,127.2773719,"38.20119540754313, 127.27737191150247"
67,강원도,토교저수지,강원도,철원군,중위험,2,38.28934503,127.2893631,"38.28934502892065, 127.28936308358267"
68,강원도,섬강,강원도,횡성군,고위험,1,37.50069085,127.9921392,"37.500690845580344, 127.99213918049267"
69,강원도,철원평야,강원도,철원군,중위험,2,38.29310283,127.2142299,"38.29310283134329, 127.21422992889252"
70,강원도,남대천,강원도,강릉시,저위험,3,37.75220997,128.9013411,"37.75220997167653, 128.90134105532326"
71,강원도,소양강 하류,강원도,춘천시,중위험,2,37.89698618,127.745424,"37.89698617983393, 127.7454239624107"
72,강원도,원주천,강원도,원주시,중위험,2,37.38270406,127.9414703,"37.382704055767405, 127.94147033377192"
73,강원도,남대천,강원도,양양군,저위험,3,38.10796422,128.6436111,"38.107964222902496, 128.64361106592784"
74,충청북도,보강천,충청북도,증평군,중위험,2,36.78651814,127.5785416,"36.786518139596225, 127.57854158748"
75,충청북도,백곡지,충청북도,진천군,중위험,2,36.86662725,127.3997616,"36.86662724997134, 127.39976155953663"
76,충청북도,미호천,충청북도,청주시,고위험,1,36.51628878,127.3197628,"36.5162887821276, 127.31976281396229"
77,충청북도,무심천,충청북도,청원군,중위험,2,36.58091002,127.5034692,"36.58091002074261, 127.50346917018088"
78,충청북도,충주호,충청북도,충주시,저위험,3,36.96033958,128.0662729,"36.96033958118106, 128.0662729272722"
79,대구경북,안심습지,대구광역시,동구,저위험,3,35.86502983,128.7471872,"35.86502982622569, 128.74718716576282"
80,대구경북,형산강,경상북도,경주시,고위험,1,35.92345596,129.2388766,"35.92345596127968, 129.23887659738637"
81,대구경북,김천,경상북도,감천시,중위험,2,36.09212308,128.123315,"36.09212308013244, 128.12331495113736"
82,대구경북,구미,경상북도,구미시,저위험,3,36.18780477,128.3702147,"36.18780476544952, 128.3702147007899"
83,대구경북,낙동강,경상북도,고령군,중위험,2,35.83992616,128.4611035,"35.83992615966229, 128.46110345037778"
84,대구경북,금호강,대구광역시,대천동,고위험,1,35.81740261,128.4810462,"35.8174026069283, 128.48104618415317"
85,부산울산경남,낙동강하구,부산광역시,사하구,중위험,2,35.10495901,128.945932,"35.104959005687974, 128.9459320237596"
86,부산울산경남,태화강,울산광역시,여천동,저위험,3,35.5376415,129.3699948,"35.53764149997886, 129.36999476035592"
87,부산울산경남,장척저수지,경상남도,창녕군,저위험,3,35.43456284,128.4922435,"35.43456283906837, 128.49224351135572"
88,부산울산경남,양산천,경상남도,양산시,중위험,2,35.32377077,129.0200698,"35.32377076603513, 129.02006984526182"
89,부산울산경남,양산발생지,경상남도,양산지,저위험,3,35.47070252,129.2692165,"35.470702520283716, 129.26921645925657"
90,부산울산경남,낙동강,경상남도,밀양시,중위험,2,35.34938777,128.9331287,"35.349387768425835, 128.9331287407582"
91,부산울산경남,주남저수지,경상남도,창원시,저위험,3,35.31485381,128.6727253,"35.3148538085958, 128.67272531322178"
92,부산울산경남,창녕우포,경상남도,창녕군,저위험,3,35.55193568,128.4139409,"35.551935684595, 128.4139408551069"
93,부산울산경남,사천만,경상남도,사천시,저위험,3,35.0339703,128.0309809,"35.03397029572857, 128.0309809363544"
94,부산울산경남,목포늪,경상남도,창녕군,저위험,3,35.56254131,128.4061834,"35.56254130753707, 128.40618339231"
95,부산울산경남,사지포,경상남도,창녕군,저위험,3,35.56161379,128.4333952,"35.561613790429384, 128.4333952070682"
96,부산울산경남,산남저수지,경상남도,의령군,저위험,3,35.35126887,128.1744385,"35.35126887288887, 128.17443850327453"
97,부산울산경남,동판저수지,경상남도,창원시,중위험,2,35.30133785,128.6863462,"35.30133784622012, 128.68634622602417"
98,부산울산경남,화포천,경상남도,김해시,중위험,2,35.31163743,128.7875952,"35.31163742899077, 128.7875952437551"
99,부산울산경남,낙동강,경상남도,양산시,저위험,3,35.27987525,129.0097639,"35.27987524642292, 129.009763931276"
100,제주특별자치도,하도리,제주특별자치도,제주시,중위험,2,33.51695001,126.8838772,"33.51695001412742, 126.8838772052322"
101,제주특별자치도,용수저수지,제주특별자치도,제주시,중위험,2,33.31741752,126.1875288,"33.31741751732376, 126.18752882294538"
102,제주특별자치도,오조리,제주특별자치도,서귀포시,저위험,3,33.46386619,126.9179618,"33.463866194337236, 126.91796178149626"
103,제주특별자치도,종달리,제주특별자치도,제주시,저위험,3,33.49242412,126.8907141,"33.49242412098807, 126.89071411147393"
