주소,x,y,xy,위험도
인천광역시 연수구,126.6782748,37.41010498,"126.678274835103,37.4101049829036",5
인천광역시 남동구,126.7314877,37.44734879,"126.73148773974,37.4473487903571",5
인천광역시 부평구,126.7218642,37.50704166,"126.721864167603,37.5070416636403",5
인천광역시 계양구,126.7377092,37.53750289,"126.737709165274,37.5375028862627",5
인천광역시 강화군,126.4880396,37.7465684,"126.488039602372,37.7465683959168",5
인천광역시 옹진군,124.6700861,37.953465,"124.670086072277,37.9534650042648",5
광주광역시 광산구,126.7936334,35.13954719,"126.793633444381,35.1395471867541",5
대전광역시 유성구,127.3562576,36.36228511,"127.356257593324,36.3622851114392",5
대전광역시 대덕구,127.4155619,36.34670513,"127.415561890628,36.3467051322814",5
울산광역시 울주군,129.1502671,35.60181577,"129.150267145781,35.6018157675291",5
세종특별자치시 세종특별자치시,127.2891953,36.48006491,"127.289195324698,36.4800649113762",5
경기도 수원시,127.0287159,37.26358468,"127.028715898311,37.2635846787744",5
경기도 성남시,127.1265163,37.41992491,"127.126516323057,37.4199249073274",5
경기도 의정부시,127.0338991,37.73805664,"127.033899090337,37.7380566430617",5
경기도 안양시,126.9568605,37.3942588,"126.956860524882,37.3942588031863",5
경기도 부천시,126.7660385,37.50351178,"126.766038450927,37.5035117792843",5
경기도 광명시,126.8646478,37.47856748,"126.864647815161,37.4785674780314",5
경기도 평택시,127.1126884,36.99226067,"127.112688386546,36.992260674533",5
경기도 동두천시,127.0604407,37.90359865,"127.060440729219,37.9035986489851",5
경기도 안산시,126.8308344,37.32190855,"126.830834434401,37.3219085506387",0
경기도 고양시,126.8319551,37.6584181,"126.831955109648,37.6584180954929",0
경기도 과천시,126.987712,37.4292292,"126.987711960677,37.4292291986772",0
경기도 구리시,127.1296464,37.59435958,"127.129646382723,37.5943595777621",0
경기도 남양주시,127.2164803,37.63602723,"127.21648030719,37.6360272346499",0
경기도 오산시,127.0775265,37.14987902,"127.077526548914,37.1498790159121",0
경기도 시흥시,126.8029778,37.38011507,"126.802977796436,37.380115071596",0
경기도 군포시,126.9352059,37.36163183,"126.935205932727,37.3616318289596",0
