구분,Oct-20,Nov-20,Dec-20,Jan-21,Feb-21,Mar-21,평균
물꿩,0,0,0,0,0,0,0
멧도요,0,0,0,1,0,0,0.17
꼬마도요,0,0,0,0,0,0,0
청도요,0,0,0,0,0,0,0
큰꺅도요,0,0,0,0,0,0,0
바늘꼬리도요,0,0,0,0,0,0,0
꺅도요사촌,0,0,0,0,0,0,0
꺅도요,58,45,20,34,17,14,31.33
긴부리도요,0,0,0,0,0,0,0
큰부리도요,0,0,0,0,0,0,0
흑꼬리도요,13,23,0,0,0,1,6.17
큰뒷부리도요,99,78,0,0,0,7,30.67
쇠부리도요,0,0,0,0,0,0,0
중부리도요,0,11,3,0,0,82,16
마도요,420,8692,11479,11607,4260,8030,7414.67
알락꼬리마도요,168,99,114,2,0,2672,509.17
학도요,10,4,0,0,0,42,9.33
붉은발도요,8,16,0,0,0,0,4
쇠청다리도요,0,0,0,0,0,0,0
청다리도요,475,198,255,73,9,332,223.67
청다리도요사촌,0,0,0,0,0,0,0
큰노랑발도요,0,0,0,0,0,0,0
삑삑도요,78,176,112,86,77,71,100
알락도요,5,32,0,0,0,0,6.17
뒷부리도요,277,0,10,0,0,0,47.83
깝작도요,119,95,98,76,52,49,81.5
노랑발도요,1,1,0,0,0,0,0.33
꼬까도요,1,0,3,0,0,0,0.67
붉은어깨도요,3,0,0,0,0,0,0.5
붉은가슴도요,2,0,5,0,0,0,1.17
세가락도요,219,363,290,300,214,34,236.67
좀도요,8090,26,15,2,0,119,1375.33
작은도요,0,0,0,0,0,0,0
흰꼬리좀도요,2,0,0,0,0,0,0.33
종달도요,0,0,0,0,0,0,0
아메리카메추라기도요,0,0,0,0,0,0,0
메추라기도요,0,0,0,0,0,0,0
붉은갯도요,0,0,0,0,0,0,0
민물도요,9976,14456,14154,10937,3020,14269,11135.33
넓적부리도요,0,0,0,0,0,0,0
송곳부리도요,5,0,0,0,0,0,0.83
누른도요,0,0,0,0,0,0,0
목도리도요,0,0,0,0,0,0,0
큰지느러미발도요,0,0,0,0,0,0,0
지느러미발도요,0,0,0,0,0,0,0
붉은배지느러미발도요,0,0,0,0,0,0,0
제비물떼새,0,0,0,0,0,0,0
괭이갈매기,14548,11021,40964,48212,25623,31869,28706.17
갈매기,727,153,5275,6556,1138,718,2427.83
수리갈매기,0,0,0,2,0,0,0.33
흰갈매기,1,17,65,67,7,7,27.33
작은흰갈매기,0,0,0,0,0,0,0
작은재갈매기,0,0,0,0,0,0,0
재갈매기,2036,5388,32301,53332,20809,22730,22766
옅은재갈매기,0,0,0,0,0,0,0
한국재갈매기,355,145,663,469,621,584,472.83
줄무늬노랑발갈매기,2,18,169,289,69,82,104.83
큰재갈매기,7,56,1725,2330,59,59,706
큰검은머리갈매기,0,0,0,0,1,0,0.17
붉은부리갈매기,1141,4469,9289,21467,5780,7965,8351.83
긴목갈매기,0,0,0,0,0,0,0
검은머리갈매기,3,416,1614,2909,1417,477,1139.33
고대갈매기,0,0,0,0,0,0,0
꼬마갈매기,0,0,0,0,0,0,0
북극흰갈매기,0,0,0,0,0,0,0
목테갈매기,0,0,0,0,0,0,0
세가락갈매기,0,0,0,0,1,0,0.17
큰부리제비갈매기,0,0,0,0,0,0,0
붉은부리큰제비갈매기,0,0,0,0,0,0,0
큰제비갈매기,0,0,0,0,0,0,0
뿔제비갈매기,0,0,0,0,0,0,0
긴꼬리제비갈매기,0,0,0,0,0,0,0
제비갈매기,0,0,0,0,0,0,0
쇠제비갈매기,0,0,0,0,0,0,0
알류샨제비갈매기,0,0,0,0,0,0,0
에위니아제비갈매기,0,0,0,0,0,0,0
검은등제비갈매기,0,0,0,0,0,0,0
구레나룻제비갈매기,2,0,0,0,0,0,0.33
흰죽지제비갈매기,3,0,0,0,0,0,0.5
검은제비갈매기,0,0,0,0,0,0,0
흰제비갈매기,0,0,0,0,0,0,0
남극도둑갈매기,0,0,0,0,0,0,0
넓적꼬리도둑갈매기,0,0,0,0,0,0,0
북극도둑갈매기,0,0,0,0,0,0,0
긴꼬리도둑갈매기,0,0,0,0,0,0,0
큰부리바다오리,0,0,0,1,0,0,0.17
바다오리,0,0,0,0,0,0,0
흰눈썹바다오리,0,0,2,2,0,0,0.67
알락쇠오리,0,0,1,0,0,0,0.17
바다쇠오리,0,0,892,1274,0,0,361
뿔쇠오리,0,0,1,0,0,0,0.17
작은바다오리,0,0,0,0,0,0,0
흰수염바다오리,0,0,34,4,0,0,6.33
댕기바다오리,0,0,0,0,0,0,0
사막꿩,0,0,0,0,0,0,0
양비둘기,0,3,27,55,35,0,20
분홍가슴비둘기,0,0,0,0,0,0,0
흑비둘기,0,0,0,0,0,0,0
멧비둘기,6619,7594,15234,16983,7301,7495,10204.33
염주비둘기,0,0,0,2,0,1,0.5
홍비둘기,0,0,0,0,0,0,0
